time,jogos,gols,chutes,aproveitamento,gol^fora_area,gol^grande_area,gol^pequena_area,chute^fora_area,chute^grande_area,chute^longe,chute^pequena_area,chute^zona_morta,aprov^fora_area,aprov^grande_area,aprov^longe,aprov^pequena_area,aprov^zona_morta,1o_15,1o_30,1o_45,2o_15,2o_30,2o_45,1o_15_porc,1o_30_porc,1o_45_porc,2o_15_porc,2o_30_porc,2o_45_porc
Croatia,3,5,41,12.2,0.0,5.0,0.0,14.0,26.0,0.0,1.0,0.0,0.0,19.2,0,0.0,0,1.0,0.0,0.0,1.0,2.0,1.0,20.0,0.0,0.0,20.0,40.0,20.0
Ecuador,3,3,29,10.3,0.0,1.0,2.0,14.0,12.0,1.0,2.0,0.0,0.0,8.3,0,100.0,0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,33.3,33.3,0.0,33.3,0.0
England,3,2,39,5.1,0.0,1.0,1.0,25.0,10.0,1.0,2.0,1.0,0.0,10.0,0,50.0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0
France,4,8,77,10.4,0.0,7.0,1.0,30.0,38.0,1.0,5.0,3.0,0.0,18.4,0,20.0,0,0.0,2.0,2.0,0.0,3.0,1.0,0.0,25.0,25.0,0.0,37.5,12.5
Germany,4,9,65,13.8,1.0,5.0,3.0,22.0,35.0,3.0,5.0,0.0,4.5,14.3,0,60.0,0,1.0,0.0,2.0,2.0,1.0,3.0,11.1,0.0,22.2,22.2,11.1,33.3
Ghana,3,4,59,6.8,0.0,4.0,0.0,28.0,26.0,4.0,0.0,1.0,0.0,15.4,0,0.0,0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,50.0,25.0,25.0
Greece,4,3,58,5.2,0.0,3.0,0.0,31.0,24.0,1.0,0.0,2.0,0.0,12.5,0,0.0,0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,33.3,0.0,0.0,66.7
Honduras,3,1,33,3.0,1.0,0.0,0.0,20.0,7.0,3.0,1.0,2.0,5.0,0.0,0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Iran,3,1,22,4.5,0.0,0.0,1.0,10.0,10.0,1.0,1.0,0.0,0.0,0.0,0,100.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,100.0
Italy,3,2,31,6.5,1.0,0.0,1.0,19.0,9.0,0.0,1.0,2.0,5.3,0.0,0,100.0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0
Ivory Coast,3,4,47,8.5,0.0,4.0,0.0,22.0,23.0,0.0,0.0,2.0,0.0,17.4,0,0.0,0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Japan,3,2,46,4.3,0.0,1.0,1.0,26.0,13.0,1.0,2.0,4.0,0.0,7.7,0,50.0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0
Korea Republic,3,3,37,8.1,1.0,2.0,0.0,16.0,16.0,3.0,1.0,1.0,6.2,12.5,0,0.0,0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,33.3,66.7,0.0
Mexico,4,5,46,10.9,1.0,4.0,0.0,22.0,18.0,1.0,0.0,5.0,4.5,22.2,0,0.0,0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,20.0,60.0,20.0
Netherlands,4,12,55,21.8,1.0,8.0,3.0,25.0,25.0,0.0,5.0,0.0,4.0,32.0,0,60.0,0,0.0,1.0,1.0,2.0,3.0,5.0,0.0,8.3,8.3,16.7,25.0,41.7
Nigeria,4,3,50,6.0,0.0,3.0,0.0,29.0,13.0,1.0,0.0,7.0,0.0,23.1,0,0.0,0,1.0,1.0,0.0,1.0,0.0,0.0,33.3,33.3,0.0,33.3,0.0,0.0
Portugal,3,3,53,5.7,1.0,2.0,0.0,27.0,19.0,3.0,0.0,4.0,3.7,10.5,0,0.0,0,1.0,0.0,0.0,0.0,0.0,2.0,33.3,0.0,0.0,0.0,0.0,66.7
Russia,3,2,39,5.1,0.0,1.0,1.0,25.0,13.0,0.0,1.0,0.0,0.0,7.7,0,100.0,0,1.0,0.0,0.0,0.0,1.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0
Spain,3,4,35,11.4,0.0,2.0,2.0,14.0,18.0,0.0,3.0,0.0,0.0,11.1,0,66.7,0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,25.0,25.0,0.0,25.0,25.0
Switzerland,4,7,65,10.8,2.0,3.0,2.0,35.0,17.0,0.0,8.0,5.0,5.7,17.6,0,25.0,0,1.0,0.0,1.0,1.0,1.0,3.0,14.3,0.0,14.3,14.3,14.3,42.9
United States,4,5,41,12.2,1.0,4.0,0.0,21.0,18.0,0.0,0.0,2.0,4.8,22.2,0,0.0,0,1.0,0.0,0.0,0.0,1.0,3.0,20.0,0.0,0.0,0.0,20.0,60.0
Uruguay,4,4,49,8.2,0.0,4.0,0.0,16.0,21.0,5.0,0.0,7.0,0.0,19.0,0,0.0,0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,25.0,25.0,0.0,0.0,50.0
