time,gols,ataque,chutes,passes_area,desarmes,passes_completados,posse_bola,chutes_certos,chutes_bloqueados,chutes_defendidos,chutes_fora,chutes_trave,bola_parada,cruzamentos,escanteios,impedimentos,defesas,bolas_recuperadas,bolas_perdidas,carrinho,faltas_cometidas,cartao_amarelo,cartao_vermelho,dist_total,dist_com_bola,dist_sem_bola,passes,passes_curtos,passes_medios,passes_longos,porc_passes_completos,vitorias,empates,derrotas,gols_sofridos,jogos
Gana,4.0,142.0,59.0,30.0,28.0,1065.0,146.0,24.0,8.0,11.0,35.0,0.0,9.0,60.0,14.0,14.0,12.0,140.0,234.0,0.0,43.0,6.0,0.0,332827.0,114998.0,122324.0,1465.0,353.0,851.0,261.0,217.0,0.0,1.0,2.0,6.0,3
Grécia,2.0,107.0,34.0,12.0,43.0,786.0,132.0,17.0,4.0,10.0,17.0,4.0,9.0,66.0,15.0,7.0,11.0,109.0,181.0,0.0,45.0,6.0,0.0,304180.0,91573.0,114525.0,1095.0,263.0,617.0,215.0,209.0,1.0,1.0,1.0,4.0,3
Holanda,10.0,89.0,41.0,22.0,38.0,899.0,131.0,33.0,8.0,15.0,8.0,2.0,6.0,27.0,5.0,7.0,6.0,120.0,195.0,0.0,68.0,5.0,0.0,328273.0,108036.0,126216.0,1238.0,259.0,717.0,262.0,214.0,3.0,0.0,0.0,3.0,3
Honduras,1.0,86.0,33.0,10.0,36.0,1046.0,146.0,17.0,8.0,8.0,16.0,1.0,5.0,44.0,12.0,3.0,11.0,122.0,224.0,0.0,46.0,7.0,0.0,288349.0,94959.0,112159.0,1375.0,335.0,809.0,231.0,225.0,0.0,0.0,3.0,8.0,3
Inglaterra,2.0,138.0,39.0,25.0,39.0,1286.0,163.0,19.0,7.0,10.0,20.0,1.0,5.0,70.0,22.0,2.0,6.0,112.0,212.0,0.0,37.0,4.0,0.0,318965.0,122343.0,108066.0,1644.0,424.0,963.0,257.0,235.0,0.0,1.0,2.0,4.0,3
Irã,1.0,74.0,22.0,25.0,67.0,604.0,105.0,12.0,6.0,5.0,10.0,1.0,4.0,60.0,13.0,10.0,12.0,121.0,218.0,0.0,49.0,4.0,0.0,323498.0,78024.0,145657.0,950.0,241.0,517.0,192.0,187.0,0.0,1.0,2.0,4.0,3
Itália,2.0,100.0,31.0,19.0,33.0,1580.0,165.0,16.0,8.0,6.0,15.0,2.0,5.0,36.0,9.0,21.0,12.0,113.0,230.0,0.0,41.0,3.0,1.0,321339.0,126722.0,108344.0,1859.0,494.0,1174.0,191.0,254.0,1.0,0.0,2.0,3.0,3
Japão,2.0,141.0,46.0,29.0,23.0,1274.0,165.0,28.0,13.0,13.0,18.0,0.0,8.0,58.0,19.0,2.0,8.0,106.0,218.0,0.0,46.0,4.0,0.0,317509.0,119263.0,106484.0,1633.0,426.0,997.0,210.0,231.0,0.0,1.0,2.0,6.0,3
México,4.0,107.0,34.0,25.0,43.0,1082.0,149.0,15.0,5.0,6.0,19.0,1.0,4.0,51.0,14.0,6.0,8.0,121.0,214.0,0.0,41.0,5.0,0.0,312925.0,103363.0,107143.0,1436.0,349.0,857.0,230.0,224.0,2.0,1.0,0.0,1.0,3
Nigéria,3.0,120.0,42.0,19.0,48.0,1071.0,152.0,26.0,9.0,14.0,16.0,0.0,4.0,57.0,15.0,4.0,17.0,128.0,230.0,0.0,42.0,3.0,0.0,305745.0,108780.0,115280.0,1459.0,315.0,902.0,242.0,219.0,1.0,1.0,1.0,3.0,3
Portugal,4.0,129.0,53.0,26.0,21.0,1297.0,152.0,28.0,11.0,14.0,25.0,2.0,8.0,68.0,17.0,5.0,7.0,130.0,253.0,0.0,46.0,2.0,1.0,323062.0,116887.0,118540.0,1641.0,390.0,1007.0,244.0,238.0,1.0,1.0,1.0,7.0,3
Rússia,2.0,134.0,39.0,34.0,32.0,1177.0,148.0,23.0,10.0,11.0,16.0,0.0,5.0,74.0,16.0,3.0,10.0,131.0,245.0,0.0,38.0,4.0,0.0,347455.0,127457.0,127344.0,1600.0,393.0,983.0,224.0,220.0,0.0,2.0,1.0,3.0,3
Suíça,7.0,113.0,51.0,25.0,38.0,1219.0,153.0,33.0,11.0,15.0,18.0,0.0,7.0,40.0,14.0,4.0,14.0,110.0,224.0,0.0,39.0,1.0,0.0,325723.0,119655.0,115849.0,1542.0,411.0,952.0,179.0,235.0,2.0,0.0,1.0,6.0,3
Uruguai,4.0,137.0,49.0,29.0,58.0,1206.0,182.0,29.0,11.0,13.0,20.0,0.0,14.0,72.0,20.0,11.0,10.0,162.0,298.0,0.0,74.0,8.0,1.0,414757.0,117870.0,147858.0,1689.0,390.0,1021.0,278.0,281.0,2.0,0.0,2.0,6.0,4
