,nome,codigo,time,chutes,passes_completados,bolas_recuperadas,desarmes,defesas,velocidade_maxima,distancia,adversario
27,15   DZEMAILI,216646,Suíça,0,1,1,0,0,20.5,547,Honduras
28,22   DOMINGUEZ,303419,Equador,0,14,0,0,9,16.8,3164,França
29,2   GUAGUA,181930,Equador,0,24,4,1,0,21.2,8170,França
30,3   ERAZO,349578,Equador,0,23,8,0,0,25.3,9104,França
31,4   PAREDES,349576,Equador,0,29,4,1,0,31.2,9345,França
32,6   NOBOA,279417,Equador,3,21,5,3,0,27.4,11267,França
33,7   MONTERO,290452,Equador,0,6,2,0,0,30.9,7247,França
34,10   W. AYOVI,184447,Equador,1,28,7,0,0,28.1,9202,França
35,13   E. VALENCIA,373400,Equador,2,5,2,0,0,29.1,8017,França
36,14   MINDA,350119,Equador,0,25,6,2,0,26.1,11025,França
37,15   ARROYO,349574,Equador,2,26,4,2,0,30.5,10160,França
38,16   A. VALENCIA,202544,Equador,1,20,1,0,0,26.5,6127,França
39,5   IBARRA,336869,Equador,2,3,1,1,0,27.1,3191,França
40,11   CAICEDO,228715,Equador,0,1,0,0,0,16.5,38,França
41,21   ACHILIER,229450,Equador,0,0,0,0,0,22.7,1049,França
42,1   LLORIS,297105,França,0,18,0,0,2,21.4,4329,Equador
43,5   SAKHO,274135,França,0,39,6,3,0,27.9,5640,Equador
44,10   BENZEMA,297103,França,5,26,0,0,0,29.1,9096,Equador
45,11   GRIEZMANN,336435,França,2,34,0,0,0,26.8,9957,Equador
46,14   MATUIDI,358014,França,1,47,5,0,0,24.8,8159,Equador
47,15   SAGNA,254141,França,0,45,1,1,0,27.6,9581,Equador
48,17   DIGNE,368860,França,0,54,7,0,0,29.4,10170,Equador
49,18   SISSOKO,317056,França,2,36,2,0,0,31.4,10057,Equador
50,19   POGBA,367388,França,7,60,1,1,0,28.7,10579,Equador
51,21   KOSCIELNY,358012,França,0,43,6,0,0,27.4,8503,Equador
52,22   SCHNEIDERLIN,379995,França,1,61,9,3,0,28.7,11769,Equador
53,4   VARANE,359440,França,0,11,1,0,0,27.6,2983,Equador
54,9   GIROUD,358015,França,1,7,0,0,0,28,2673,Equador
55,20   REMY,299878,França,1,2,0,0,0,23.9,1522,Equador
56,23   J VAZQUEZ,379264,México,1,29,1,1,0,28.1,10822,Croácia
57,8   M FABIAN,319311,México,1,1,0,0,0,24.7,1306,Croácia
58,14   J HERNANDEZ,228599,México,1,7,0,0,0,26.5,3711,Croácia
59,21   C PEÑA,303394,México,0,1,0,0,0,26.3,1764,Croácia
60,1   COURTOIS,358106,Bélgica,0,21,0,0,3,17.7,4455,Rússia
61,2   ALDERWEIRELD,290864,Bélgica,0,35,3,2,0,25.9,10251,Rússia
62,3   VERMAELEN,216880,Bélgica,0,19,0,0,0,23.8,3286,Rússia
63,4   KOMPANY,216004,Bélgica,0,41,10,0,0,28.5,9539,Rússia
64,6   WITSEL,290821,Bélgica,1,39,2,2,0,30,10493,Rússia
65,7   DE BRUYNE,358120,Bélgica,0,27,3,0,0,30.7,11297,Rússia
66,8   FELLAINI,290902,Bélgica,0,39,7,1,0,30.3,11705,Rússia
67,9   LUKAKU,358112,Bélgica,1,8,0,0,0,27.4,6381,Rússia
68,10   E.HAZARD,273996,Bélgica,2,25,0,0,0,28.1,10226,Rússia
69,14   MERTENS,358114,Bélgica,3,16,0,1,0,26.3,7753,Rússia
70,15   VAN BUYTEN,375523,Bélgica,0,48,7,0,0,31.6,9947,Rússia
71,5   VERTONGHEN,290904,Bélgica,0,27,4,0,0,26.1,5992,Rússia
72,11   MIRALLAS,290903,Bélgica,2,4,0,0,0,26.7,2432,Rússia
73,17   ORIGI,379911,Bélgica,2,6,0,0,0,25.7,4404,Rússia
74,1   AKINFEEV,215017,Rússia,0,16,0,0,1,19.6,3877,Bélgica
75,2   KOZLOV,369983,Rússia,0,21,2,0,0,27.4,7566,Bélgica
76,4   IGNASHEVICH,186787,Rússia,1,38,8,1,0,25.8,10490,Bélgica
77,6   KANUNNIKOV,358885,Rússia,2,22,7,3,0,31.1,11330,Bélgica
78,8   GLUSHAKOV,358049,Rússia,3,24,5,0,0,29.2,11467,Bélgica
79,9   KOKORIN,358048,Rússia,2,16,2,0,0,29,11460,Bélgica
80,14   V. BEREZUTSKIY,186793,Rússia,0,46,6,1,0,28.5,10700,Bélgica
81,17   SHATOV,358891,Rússia,1,30,4,0,0,28.9,11049,Bélgica
82,19   SAMEDOV,216435,Rússia,0,30,4,0,0,29.8,10924,Bélgica
83,20   FAYZULIN,300235,Rússia,3,43,3,0,0,29.1,12255,Bélgica
84,23   D. KOMBAROV,300237,Rússia,0,30,4,0,0,28.9,10963,Bélgica
85,10   DZAGOEV,302539,Rússia,0,2,0,0,0,24.9,1318,Bélgica
86,11   KERZHAKOV,186808,Rússia,0,0,0,0,0,21.7,440,Bélgica
87,22   ESHCHENKO,358893,Rússia,1,11,1,0,0,29.2,3873,Bélgica
88,1   S R JUNG,198546,Coreia do Sul,0,13,0,0,1,13.4,4028,Argélia
89,3   S Y YUN,274283,Coreia do Sul,0,32,3,0,0,30.5,10606,Argélia
90,5   Y G KIM,375754,Coreia do Sul,0,42,6,2,0,25.9,9945,Argélia
91,9   H M SON,307849,Coreia do Sul,2,30,3,0,0,28.5,10560,Argélia
92,10   C Y PARK,207761,Coreia do Sul,1,13,1,2,0,24.7,6655,Argélia
93,12   Y LEE,363578,Coreia do Sul,0,44,10,4,0,28.5,10786,Argélia
94,13   J C KOO,291393,Coreia do Sul,1,31,4,4,0,26.9,11892,Argélia
95,14   K Y HAN,274329,Coreia do Sul,0,26,2,5,0,24.2,9795,Argélia
96,16   S Y KI,268406,Coreia do Sul,1,48,3,2,0,26.9,10856,Argélia
97,17   C Y LEE,268414,Coreia do Sul,0,18,4,4,0,25,8015,Argélia
98,20   J H HONG,312679,Coreia do Sul,0,48,7,0,0,27.4,9969,Argélia
99,11   K H LEE,268149,Coreia do Sul,1,6,1,0,0,26.1,3828,Argélia
100,18   S W KIM,321745,Coreia do Sul,2,4,0,0,0,24.9,3859,Argélia
101,19   D W JI,330689,Coreia do Sul,1,1,0,0,0,27,2113,Argélia
102,23   RAIS,323326,Argélia,0,11,0,0,2,17.2,2740,Coreia do Sul
103,2   BOUGUERRA,215208,Argélia,0,31,3,4,0,29.1,9913,Coreia do Sul
104,5   HALLICHE,296827,Argélia,2,40,8,2,0,27,10544,Coreia do Sul
105,6   MESBAH,323339,Argélia,0,47,2,1,0,31.8,10794,Coreia do Sul
106,10   FEGHOULI,319358,Argélia,1,26,3,2,0,29.2,11317,Coreia do Sul
107,11   BRAHIMI,366309,Argélia,3,36,3,1,0,30.2,10137,Coreia do Sul
108,12   MEDJANI,239237,Argélia,1,20,3,2,0,27.2,11352,Coreia do Sul
109,13   SLIMANI,354859,Argélia,4,18,1,2,0,28.3,11541,Coreia do Sul
110,14   BENTALEB,379939,Argélia,1,36,3,6,0,31,11657,Coreia do Sul
111,18   DJABOU,354875,Argélia,2,19,4,1,0,25.2,8120,Coreia do Sul
112,20   MANDI,376285,Argélia,0,33,3,1,0,27.8,10459,Coreia do Sul
113,4   BELKALEM,356162,Argélia,0,0,0,0,0,17,591,Coreia do Sul
114,8   LACEN,321682,Argélia,0,9,1,3,0,23.2,2175,Coreia do Sul
115,9   GHILAS,367261,Argélia,1,5,0,0,0,26.6,2488,Coreia do Sul
116,1   HOWARD,178420,EUA,0,25,0,0,4,20.5,4006,Portugal
117,4   BRADLEY,233531,EUA,4,65,2,1,0,26.1,12205,Portugal
118,5   BESLER,367433,EUA,0,51,11,4,0,26.3,9517,Portugal
119,7   BEASLEY,175498,EUA,0,51,6,0,0,28.6,9587,Portugal
120,8   DEMPSEY,207851,EUA,5,26,2,0,0,28.3,9546,Portugal
121,11   BEDOYA,296273,EUA,0,31,1,1,0,28.3,9125,Portugal
122,13   JONES,183893,EUA,3,37,4,2,0,27.4,10001,Portugal
123,15   BECKERMAN,175512,EUA,1,64,6,6,0,25.2,10458,Portugal
124,19   ZUSI,360728,EUA,0,34,1,2,0,26.1,11207,Portugal
125,20   CAMERON,321971,EUA,0,29,6,1,0,24.1,9887,Portugal
126,23   JOHNSON,311174,EUA,2,31,3,0,0,33,10240,Portugal
127,2   YEDLIN,368973,EUA,0,5,1,0,0,30.7,2695,Portugal
128,3   GONZALEZ,234405,EUA,0,0,0,0,0,23.2,525,Portugal
129,18   WONDOLOWSKI,339508,EUA,0,4,0,0,0,21.9,1301,Portugal
130,22   BETO,214404,Portugal,0,26,0,0,2,17.8,5495,EUA
131,2   B. ALVES,210213,Portugal,0,41,8,3,0,24.9,9401,EUA
132,4   MIGUEL,200201,Portugal,1,62,4,0,0,30.1,10139,EUA
133,7   RONALDO,201200,Portugal,7,29,4,0,0,25,9309,EUA
134,8   J. MOUTINHO,200199,Portugal,1,80,4,3,0,27,10484,EUA
135,13   R. COSTA,210212,Portugal,0,46,5,1,0,27.2,9075,EUA
136,16   R. MEIRELES,210214,Portugal,2,33,4,1,0,26.1,7950,EUA
137,17   NANI,254167,Portugal,4,31,5,2,0,29.8,10386,EUA
138,19   A. ALMEIDA,375453,Portugal,0,24,4,1,0,31.6,4943,EUA
139,21   J. PEREIRA,214407,Portugal,0,48,2,0,0,26.9,10533,EUA
140,23   H. POSTIGA,187203,Portugal,0,3,0,0,0,21.2,1902,EUA
141,6   WILLIAM,376349,Portugal,0,37,5,3,0,25.8,5435,EUA
142,11   ÉDER,359436,Portugal,4,17,2,0,0,23.9,8609,EUA
143,18   VARELA,254166,Portugal,1,11,2,0,0,27.4,2858,EUA
144,1   BUFFON,159304,Itália,0,21,0,0,4,21.9,5520,Uruguai
145,2   DE SCIGLIO,359223,Itália,0,31,2,1,0,26.9,10487,Uruguai
146,3   CHIELLINI,215274,Itália,0,67,9,0,0,24.5,10220,Uruguai
147,4   DARMIAN,288824,Itália,0,28,5,1,0,25.9,10654,Uruguai
148,8   MARCHISIO,298664,Itália,1,24,1,1,0,26.9,6945,Uruguai
149,9   BALOTELLI,301059,Itália,1,8,0,0,0,33,4718,Uruguai
150,15   BARZAGLI,214377,Itália,1,63,9,1,0,27.8,10092,Uruguai
151,17   IMMOBILE,306780,Itália,2,10,0,0,0,26.5,8149,Uruguai
152,19   BONUCCI,321641,Itália,0,47,6,1,0,26.1,9220,Uruguai
153,21   PIRLO,177876,Itália,3,70,6,0,0,24.1,10746,Uruguai
154,23   VERRATTI,359217,Itália,0,43,5,5,0,25.5,8852,Uruguai
155,5   THIAGO MOTTA,175689,Itália,0,21,2,0,0,20.9,2517,Uruguai
156,10   CASSANO,177927,Itália,0,8,0,0,0,29.8,2277,Uruguai
157,18   PAROLO,378836,Itália,1,11,2,0,0,27.4,6000,Uruguai
158,1   F. MUSLERA,229498,Uruguai,0,14,0,0,1,19.4,3124,Itália
159,3   D. GODIN,229499,Uruguai,1,33,12,2,0,26.1,8909,Itália
160,6   A. PEREIRA,229502,Uruguai,0,21,1,1,0,24.1,6240,Itália
161,7   C. RODRIGUEZ,216567,Uruguai,1,34,3,0,0,28.3,8015,Itália
162,9   L. SUAREZ,270775,Uruguai,6,17,0,2,0,28.7,9573,Itália
163,13   J.M. GIMENEZ,368655,Uruguai,0,24,7,0,0,31.1,9169,Itália
164,14   N. LODEIRO,305378,Uruguai,1,17,1,1,0,26.7,6521,Itália
165,17   E. AREVALO RIOS,286238,Uruguai,0,34,7,1,0,27.8,9857,Itália
166,20   A. GONZALEZ,286259,Uruguai,1,29,4,2,0,26.1,10793,Itália
167,21   E. CAVANI,267834,Uruguai,2,21,1,0,0,31,10652,Itália
168,22   M. CACERES,267829,Uruguai,2,46,8,0,0,28.5,9635,Itália
169,11   C. STUANI,229506,Uruguai,0,5,1,0,0,23,3598,Itália
170,16   M. PEREIRA,286481,Uruguai,0,20,5,1,0,25.2,5703,Itália
171,18   G. RAMIREZ,312116,Uruguai,0,8,1,0,0,31.4,2524,Itália
172,1   NAVAS K.,199175,Costa Rica,0,15,0,0,1,12.5,4292,Inglaterra
173,3   GONZALEZ G.,268821,Costa Rica,0,22,9,0,0,29.4,9899,Inglaterra
174,5   BORGES C.,236530,Costa Rica,1,23,6,0,0,26.9,9622,Inglaterra
175,6   DUARTE O.,312987,Costa Rica,0,41,7,1,0,27.9,10126,Inglaterra
176,9   CAMPBELL J.,307529,Costa Rica,1,21,1,0,0,25.6,6499,Inglaterra
177,10   RUIZ B.,214876,Costa Rica,0,33,4,1,0,26.7,10744,Inglaterra
178,14   BRENES R.,237058,Costa Rica,1,12,0,0,0,26.9,6464,Inglaterra
179,15   DIAZ J.,209940,Costa Rica,0,37,4,2,0,28,10357,Inglaterra
180,16   GAMBOA C.,307026,Costa Rica,0,24,5,3,0,31.2,10032,Inglaterra
181,17   TEJEDA Y.,307541,Costa Rica,0,49,7,2,0,25.8,11811,Inglaterra
182,19   MILLER R.,183798,Costa Rica,0,28,6,3,0,28.5,9702,Inglaterra
183,7   BOLAÑOS C.,183796,Costa Rica,1,12,2,0,0,31.2,4092,Inglaterra
184,11   BARRANTES M.,271182,Costa Rica,0,11,2,0,0,28,2198,Inglaterra
185,21   UREÑA M.,270144,Costa Rica,0,5,1,0,0,30.9,3138,Inglaterra
186,13   FOSTER,253999,Inglaterra,0,23,0,0,2,21.1,4231,Costa Rica
187,5   CAHILL,305764,Inglaterra,0,57,8,0,0,28.5,10206,Costa Rica
188,7   WILSHERE,330565,Inglaterra,0,32,7,2,0,27.7,8370,Costa Rica
189,8   LAMPARD,185385,Inglaterra,1,64,8,1,0,23.5,10855,Costa Rica
190,9   STURRIDGE,306532,Inglaterra,4,15,3,0,0,29.1,9389,Costa Rica
191,12   SMALLING,356748,Inglaterra,0,39,6,3,0,28.5,9683,Costa Rica
192,16   JONES,358009,Inglaterra,0,38,6,1,0,26.7,9644,Costa Rica
193,17   MILNER,207924,Inglaterra,0,21,5,1,0,28,8792,Costa Rica
194,20   LALLANA,361222,Inglaterra,0,13,3,0,0,30.3,7438,Costa Rica
195,21   BARKLEY,369392,Inglaterra,1,32,0,3,0,28.5,11010,Costa Rica
196,23   SHAW,336450,Inglaterra,1,43,7,2,0,31.1,9524,Costa Rica
197,4   GERRARD,214961,Inglaterra,0,10,2,0,0,25.8,2755,Costa Rica
198,10   ROONEY,196842,Inglaterra,1,5,0,0,0,27.6,2120,Costa Rica
199,19   STERLING,336043,Inglaterra,0,12,0,1,0,30.7,3464,Costa Rica
200,1   KAWASHIMA,198117,Japão,0,21,0,0,0,19.8,3705,Colômbia
201,2   UCHIDA,268474,Japão,1,28,5,0,0,26.1,10017,Colômbia
202,4   HONDA,233500,Japão,4,29,1,1,0,30.3,10290,Colômbia
203,5   NAGATOMO,291372,Japão,2,40,3,2,0,30.5,11287,Colômbia
204,9   OKAZAKI,286278,Japão,2,6,2,1,0,28.1,7649,Colômbia
205,10   KAGAWA,268596,Japão,5,37,3,0,0,27.6,9928,Colômbia
206,13   OKUBO,180936,Japão,4,23,0,0,0,27.4,9386,Colômbia
207,14   AOYAMA,268911,Japão,1,25,2,3,0,25.2,7348,Colômbia
208,15   KONNO,184373,Japão,1,49,2,1,0,28.5,9759,Colômbia
209,17   HASEBE,289027,Japão,1,50,8,3,0,26.9,10705,Colômbia
210,22   YOSHIDA,271253,Japão,1,47,11,1,0,27.4,9644,Colômbia
211,8   KIYOTAKE,347716,Japão,0,5,0,0,0,22.4,1333,Colômbia
212,11   KAKITANI,275096,Japão,1,3,1,0,0,25.9,2527,Colômbia
213,16   YAMAGUCHI,356466,Japão,0,16,3,1,0,29.4,3641,Colômbia
214,1   OSPINA,228686,Colômbia,0,16,0,0,5,16.4,3803,Japão
215,4   ARIAS,315614,Colômbia,1,32,7,0,0,31.4,10066,Japão
216,7   P. ARMERO,200213,Colômbia,0,23,3,1,0,29.8,10034,Japão
217,11   CUADRADO,309714,Colômbia,1,10,1,1,0,27.8,5113,Japão
218,13   GUARIN,200219,Colômbia,0,23,6,3,0,29.1,10692,Japão
219,15   A. MEJIA,228691,Colômbia,0,21,5,1,0,24.7,9371,Japão
220,16   A. BALANTA,369546,Colômbia,0,21,6,0,0,27.6,9502,Japão
221,19   RAMOS,200847,Colômbia,2,23,0,1,0,29.6,9836,Japão
222,20   QUINTERO,356704,Colômbia,1,14,2,0,0,23.7,5571,Japão
223,21   JACKSON M.,313832,Colômbia,4,18,2,1,0,29.1,10416,Japão
224,23   VALDES,217117,Colômbia,0,25,8,1,0,25.5,9283,Japão
225,5   C. CARBONERO,349514,Colômbia,1,16,1,2,0,27.4,5453,Japão
226,10   JAMES,269058,Colômbia,3,20,0,1,0,30.9,5268,Japão
227,22   MONDRAGON,94918,Colômbia,0,1,0,0,1,15,406,Japão
228,1   KARNEZIS,228328,Grécia,0,6,0,0,0,7.3,1284,Costa do Marfim
229,2   MANIATIS,321731,Grécia,0,37,8,4,0,28.1,10484,Costa do Marfim
230,4   MANOLAS,323556,Grécia,0,21,5,1,0,30.5,8430,Costa do Marfim
231,7   SAMARAS,297112,Grécia,1,19,0,2,0,29.8,9644,Costa do Marfim
232,8   KONE,360109,Grécia,0,1,2,0,0,21.9,1433,Costa do Marfim
233,10   KARAGOUNIS,168832,Grécia,3,24,1,5,0,24.8,9057,Costa do Marfim
234,14   SALPINGIDIS,215513,Grécia,1,18,2,3,0,30.7,10659,Costa do Marfim
235,15   TOROSIDIS,228336,Grécia,2,27,4,4,0,28.9,9524,Costa do Marfim
236,16   LAZAROS,299086,Grécia,4,19,3,3,0,28.9,9580,Costa do Marfim
237,19   SOKRATIS,299090,Grécia,0,19,2,2,0,25,9021,Costa do Marfim
238,20   CHOLEVAS,358022,Grécia,1,15,2,4,0,29.6,9543,Costa do Marfim
239,12   GLYKOS,360111,Grécia,0,15,0,0,3,23.2,3734,Costa do Marfim
240,17   GEKAS,230517,Grécia,0,0,0,0,0,28.3,1619,Costa do Marfim
241,22   SAMARIS,362649,Grécia,1,37,6,2,0,28.7,9746,Costa do Marfim
242,1   BARRY COPA,178958,Costa do Marfim,0,22,0,0,2,25.2,2669,Grécia
243,3   BOKA,198489,Costa do Marfim,1,40,0,2,0,28.5,8724,Grécia
244,4   T. KOLO,178963,Costa do Marfim,1,33,2,1,0,28.3,8281,Grécia
245,8   KALOU,216970,Costa do Marfim,2,14,2,4,0,29.1,9874,Grécia
246,9   TIOTE,291329,Costa do Marfim,1,34,2,1,0,26.5,7073,Grécia
247,10   GERVINHO,290186,Costa do Marfim,1,21,0,1,0,32.3,7952,Grécia
248,11   DROGBA,212306,Costa do Marfim,0,13,2,3,0,30.2,8011,Grécia
249,17   S. AURIER,370522,Costa do Marfim,0,41,2,1,0,31.2,9429,Grécia
250,19   TOURE YAYA,198106,Costa do Marfim,3,51,1,0,0,28.5,9940,Grécia
251,20   SEREY DIE,367555,Costa do Marfim,0,60,6,10,0,30.7,9288,Grécia
252,22   BAMBA,207946,Costa do Marfim,1,41,6,2,0,29.2,8223,Grécia
253,12   B. WILFRIED,353118,Costa do Marfim,2,1,0,1,0,27,3113,Grécia
254,14   DIOMANDE,376360,Costa do Marfim,0,2,0,0,0,26.8,1635,Grécia
255,21   SIO,332293,Costa do Marfim,1,1,1,1,0,30.2,1232,Grécia
256,1   BEGOVIĆ,230121,Bósnia e Herzegovina,0,19,0,0,1,14.9,4825,Irã
257,2   VRŠAJEVIĆ,359997,Bósnia e Herzegovina,2,42,4,1,0,32.1,10825,Irã
258,4   SPAHIĆ,216069,Bósnia e Herzegovina,0,77,10,2,0,28.9,10268,Irã
259,5   KOLAŠINAC,376230,Bósnia e Herzegovina,1,49,9,0,0,31.1,10413,Irã
260,7   BEŠIĆ,358101,Bósnia e Herzegovina,0,89,6,3,0,29.1,11432,Irã
261,8   PJANIĆ,299198,Bósnia e Herzegovina,3,66,3,0,0,27.6,11056,Irã
262,9   IBIŠEVIĆ,300411,Bósnia e Herzegovina,1,15,1,0,0,26.7,10645,Irã
263,11   DŽEKO,300409,Bósnia e Herzegovina,4,15,1,0,0,24.3,8840,Irã
264,14   SUŠIĆ,379808,Bósnia e Herzegovina,1,48,4,4,0,29.4,9610,Irã
265,15   ŠUNJIĆ,359993,Bósnia e Herzegovina,0,72,6,0,0,27.9,9842,Irã
266,21   HADŽIĆ,374529,Bósnia e Herzegovina,0,29,0,1,0,29.1,7860,Irã
267,6   VRANJEŠ,359995,Bósnia e Herzegovina,0,13,2,1,0,28,3659,Irã
268,19   VIŠĆA,365747,Bósnia e Herzegovina,1,2,0,0,0,25.2,1029,Irã
269,23   SALIHOVIĆ,300407,Bósnia e Herzegovina,0,7,0,0,0,25,1672,Irã
270,12   A. HAGHIGHI,346763,Irã,0,9,0,0,4,16.6,3671,Bósnia e Herzegovina
271,3   HAJI SAFI,288961,Irã,2,12,2,4,0,28.9,7584,Bósnia e Herzegovina
272,4   J. HOSSEINI,278072,Irã,0,17,4,1,0,30.2,9448,Bósnia e Herzegovina
273,5   AMIRHOSSEIN,213124,Irã,0,28,4,4,0,23.2,9535,Bósnia e Herzegovina
274,6   J. NEKOUNAM,185641,Irã,0,26,5,0,0,25.2,10795,Bósnia e Herzegovina
275,7   MASOUD. SH,213170,Irã,1,7,0,0,0,26.6,5274,Bósnia e Herzegovina
276,14   ANDRANIK,237949,Irã,0,38,8,1,0,28.5,10909,Bósnia e Herzegovina
277,15   MONTAZERI,251481,Irã,0,46,9,2,0,28.1,10209,Bósnia e Herzegovina
278,16   REZA,362641,Irã,3,13,2,0,0,28.3,10638,Bósnia e Herzegovina
279,21   DEJAGAH,196812,Irã,0,14,0,1,0,28.5,6990,Bósnia e Herzegovina
280,23   MEHRDAD,267344,Irã,0,33,7,11,0,29.2,9370,Bósnia e Herzegovina
281,2   KH. HEYDARI,306206,Irã,0,20,1,3,0,27.6,5792,Bósnia e Herzegovina
282,9   ALIREZA,379886,Irã,1,8,0,1,0,30,3967,Bósnia e Herzegovina
283,10   KARIM,330659,Irã,0,5,0,0,0,24.9,2984,Bósnia e Herzegovina
284,1   ENYEAMA,189300,Nigéria,0,19,0,0,9,20.3,3554,Argentina
285,2   YOBO,178403,Nigéria,0,23,4,0,0,28.3,8486,Argentina
286,5   AMBROSE,273291,Nigéria,1,42,8,2,0,30,9526,Argentina
287,7   MUSA,344714,Nigéria,4,14,0,0,0,30.9,8997,Argentina
288,8   ODEMWINGIE,214228,Nigéria,1,15,2,0,0,29.1,9003,Argentina
289,9   EMENIKE,364763,Nigéria,1,17,1,0,0,30.9,9981,Argentina
290,10   MIKEL,234463,Nigéria,1,39,4,1,0,26.7,10176,Argentina
291,13   OSHANIWA,356712,Nigéria,0,29,3,1,0,28.1,9682,Argentina
292,17   ONAZI,315429,Nigéria,3,42,4,1,0,29.2,10143,Argentina
293,18   BABATUNDE,312014,Nigéria,0,17,3,1,0,25,8037,Argentina
294,22   OMERUO,315424,Nigéria,0,26,10,2,0,30.7,9417,Argentina
295,19   NWOFOR,338673,Nigéria,0,3,1,0,0,23.8,1528,Argentina
296,20   UCHEBO,306900,Nigéria,1,6,2,1,0,26.1,3825,Argentina
297,1   ROMERO,266783,Argentina,0,12,0,0,1,22.5,2946,Nigéria
298,2   GARAY,200130,Argentina,1,45,5,0,0,26.4,9647,Nigéria
299,4   ZABALETA,182379,Argentina,0,33,3,0,0,26.9,8978,Nigéria
300,5   GAGO,201001,Argentina,0,69,6,3,0,27,10370,Nigéria
301,7   DI MARIA,266800,Argentina,5,60,2,1,0,32.9,9704,Nigéria
302,9   HIGUAIN,271550,Argentina,2,24,0,0,0,30.1,9736,Nigéria
303,10   MESSI,229397,Argentina,4,24,0,0,0,29.6,5922,Nigéria
304,14   MASCHERANO,182372,Argentina,1,78,10,1,0,29.4,9729,Nigéria
305,16   ROJO,318688,Argentina,2,46,9,0,0,28.7,10562,Nigéria
306,17   F. FERNANDEZ,318034,Argentina,1,40,9,4,0,27.8,9397,Nigéria
307,20   AGUERO,228528,Argentina,1,5,0,0,0,28.5,3782,Nigéria
308,6   BIGLIA,200133,Argentina,0,2,0,0,0,13.2,481,Nigéria
309,19   ALVAREZ,349631,Argentina,0,11,1,0,0,30.9,3723,Nigéria
310,22   LAVEZZI,229392,Argentina,1,19,0,0,0,31.6,7092,Nigéria
311,12   JULIO CESAR,179038,Brasil,0,16,0,0,3,20.9,3572,Croácia
312,2   DANI ALVES,190962,Brasil,2,70,5,2,0,25.9,10348,Croácia
313,3   T SILVA,289964,Brasil,0,66,5,0,0,24.2,8079,Croácia
314,4   DAVID LUIZ,271043,Brasil,2,51,6,1,0,27.9,8962,Croácia
315,6   MARCELO,218284,Brasil,0,52,4,2,0,28.9,9211,Croácia
316,7   HULK,318172,Brasil,2,14,0,0,0,28.3,7193,Croácia
317,8   PAULINHO,362727,Brasil,2,21,2,1,0,27,7629,Croácia
318,9   FRED,233952,Brasil,0,8,2,0,0,22.2,9187,Croácia
319,10   NEYMAR JR,314197,Brasil,4,35,3,1,0,26.8,9538,Croácia
320,11   OSCAR,312868,Brasil,2,29,3,4,0,25.6,9931,Croácia
321,17   L GUSTAVO,367918,Brasil,0,57,7,1,0,28.1,11167,Croácia
322,16   RAMIRES,298959,Brasil,0,0,1,1,0,31.1,941,Croácia
323,18   HERNANES,239424,Brasil,0,5,1,0,0,27.6,3420,Croácia
324,20   BERNARD,356669,Brasil,0,9,1,0,0,29.2,2920,Croácia
325,1   PLETIKOSA,179048,Croácia,0,17,0,0,3,11.7,3312,Brasil
