adversario,altura,ano_nascimento,assistencias,bloqueios,carrinhos,chutes_certos,chutes_total,cidade_nascimento,codigo,cruzamentos,faltas_cometidas,faltas_sofridas,gols,impedimentos,nome,pais_nascimento,passes,peso,posicao,roubadas,time
Bosnia-Herzegovina,1.85,"9 June, 1984",0,1,0,0,1,Shiraz,473978,2,1,6,0,0,Masoud Shojaei,Iran,7,73,Forward,2,Iran
Bosnia-Herzegovina,1.77,"25 February, 1990",0,0,1,2,2,Kashan,473977,2,0,0,0,0,Ehsan Haji Safi,Iran,12,64,Midfielder,2,Iran
Bosnia-Herzegovina,1.82,"5 July, 1986",0,0,1,0,0,Tehran,345653,6,1,1,0,3,Ashkan Dejagah,Iran,14,79,Forward,2,Iran
Bosnia-Herzegovina,1.81,"20 September, 1987",0,0,1,2,3,Mashhad,351427,0,5,3,1,3,Reza Ghoochannejhad,Iran,13,76,Forward,0,Iran
Bosnia-Herzegovina,1.85,"3 April, 1990",0,0,0,0,0,Ardabil,583648,0,1,0,0,1,Karim Ansarifard,Iran,5,65,Forward,0,Iran
Bosnia-Herzegovina,1.75,"14 September, 1983",0,0,0,0,0,Tehran,493155,6,1,0,0,1,Khosro Heydari,Iran,20,61,Forward,2,Iran
Bosnia-Herzegovina,1.81,"11 August, 1993",0,0,1,1,1,Jirandeh,740234,0,0,1,0,0,Alireza Jahanbakhsh,Iran,8,78,Forward,1,Iran
Bosnia-Herzegovina,1.89,"20 October, 1982",0,0,0,0,0,Ahvaz,473975,0,0,0,0,0,Ahmad Alnameh,Iran,0,78,Defender,0,Iran
Bosnia-Herzegovina,1.80,"22 January, 1984",0,0,0,0,0,Shiraz,481672,0,0,0,0,0,Hashem Beikzadeh,Iran,0,78,Midfielder,0,Iran
Bosnia-Herzegovina,1.78,"1 February, 1987",0,0,0,0,0,San Jose,537093,0,0,0,0,0,Steven Beitashour,United States,0,77,Defender,0,Iran
Bosnia-Herzegovina,1.78,"12 July, 1983",0,0,0,0,0,Esfahan,539244,0,0,0,0,0,Ghasem Hadadifar,Iran,0,66,Midfielder,0,Iran
Bosnia-Herzegovina,1.82,"16 September, 1986",0,0,0,0,0,Bushehr,566432,0,0,0,0,0,Hossein Mahini,Iran,0,70,Defender,0,Iran
Bosnia-Herzegovina,1.79,"23 September, 1991",0,0,0,0,0,Sarpol-e Zahab,569580,0,0,0,0,0,Bakhtiar Rahmani,Iran,0,74,Midfielder,0,Iran
Bosnia-Herzegovina,1.90,"1 February, 1989",0,0,0,0,0,Mashhad,826260,0,0,0,0,0,Reza Haghighi,Iran,0,80,Midfielder,0,Iran
Iran,1.98,"20 June, 1987",0,0,0,0,0,Trebinje,389277,0,0,0,0,0,Asmir Begovic,Yugoslavia,0,83,Goalkeeper,0,Bosnia-Herzegovina
Iran,1.98,"15 May, 1986",0,0,0,0,0,Tupkovic,462632,0,0,0,0,0,Jasmin Fejzic,Yugoslavia,0,95,Goalkeeper,0,Bosnia-Herzegovina
Iran,1.90,"13 May, 1981",0,0,0,0,0,Breza,578835,0,0,0,0,0,Asmir Avdukic,Yugoslavia,0,86,Goalkeeper,0,Bosnia-Herzegovina
Bosnia-Herzegovina,1.93,"6 January, 1988",0,0,0,0,0,Giessen,505368,0,0,0,0,0,Daniel Davari,West Germany,0,85,Goalkeeper,0,Iran
Bosnia-Herzegovina,1.82,"30 July, 1980",0,0,0,0,0,Noshahr,590168,0,0,0,0,0,Rahman Ahmadi,Iran,0,77,Goalkeeper,0,Iran
Switzerland,1.86,"28 November, 1985",0,0,1,0,2,La Ceiba,596331,3,1,0,0,0,Brayan Beckeles,Honduras,42,80,Defender,7,Honduras
Switzerland,1.87,"24 May, 1982",0,0,1,0,0,La Ceiba,457705,0,1,1,0,0,Victor Bernárdez,Honduras,35,86,Defender,10,Honduras
Switzerland,1.84,"2 May, 1983",0,3,2,1,2,Jutiapa,358879,0,4,3,0,0,Maynor Figueroa,Honduras,58,82,Defender,15,Honduras
Switzerland,1.75,"8 March, 1988",0,0,2,0,1,Tela,504480,1,1,0,0,0,Juan Carlos García,Honduras,62,76,Defender,3,Honduras
Switzerland,1.76,"4 September, 1984",0,0,1,0,0,Tegucigalpa,358947,3,0,2,0,0,Boniek García,Honduras,33,72,Midfielder,2,Honduras
Switzerland,1.76,"8 January, 1986",0,0,1,1,1,Choloma,386041,1,1,1,0,0,Jorge Claros,Honduras,69,70,Midfielder,9,Honduras
Switzerland,1.81,"29 July, 1984",0,0,1,0,1,La Ceiba,358890,0,0,5,0,0,Wilson Palacios,Honduras,80,71,Midfielder,10,Honduras
Switzerland,1.80,"25 October, 1986",0,0,1,1,1,Puerto Cortes,439302,1,1,0,0,0,Roger Espinoza,Honduras,28,73,Midfielder,7,Honduras
Switzerland,1.87,"8 April, 1987",0,0,3,2,3,Santa Rosa de Aguan,544490,1,4,1,0,0,Jerry Bengtson,Honduras,15,75,Forward,3,Honduras
Switzerland,1.90,"18 July, 1982",0,0,0,0,0,San Pedro Sula,491194,1,0,1,0,0,Carlo Costly,Honduras,8,85,Forward,2,Honduras
Switzerland,1.56,"3 November, 1983",0,0,2,0,0,La Ceiba,500102,3,3,2,0,0,Marvin Chávez,Honduras,20,66,Midfielder,4,Honduras
Switzerland,1.70,"16 March, 1993",0,0,0,1,1,Choluteca,542293,0,0,1,0,0,Andy Najar,Honduras,10,67,Midfielder,0,Honduras
Switzerland,1.81,"13 May, 1982",0,0,2,0,1,La Ceiba,526954,1,1,1,0,0,Jerry Palacios,Honduras,12,81,Midfielder,1,Honduras
Switzerland,1.77,"10 May, 1986",0,0,0,0,0,Tegucigalpa,363591,0,0,0,0,0,Emilio Izaguirre,Honduras,0,77,Midfielder,0,Honduras
Switzerland,1.87,"29 July, 1984",0,0,0,0,0,Santa Fe,457707,0,0,0,0,0,Osman Chávez,Honduras,0,91,Defender,0,Honduras
Switzerland,1.73,"30 July, 1989",0,0,0,0,0,San Pedro Sula,461719,0,0,0,0,0,Mario Martínez,Honduras,0,70,Midfielder,0,Honduras
Switzerland,1.79,"20 November, 1986",0,0,0,0,0,San Manuel,504521,0,0,0,0,0,Edder Delgado,Honduras,0,70,Midfielder,0,Honduras
Switzerland,1.70,"5 November, 1990",0,0,0,0,0,Juticalpa,650765,0,0,0,0,0,Luis Garrido,Honduras,0,73,Midfielder,0,Honduras
Switzerland,1.96,"26 December, 1985",0,0,0,0,0,Sulaco,724862,0,0,0,0,0,Juan Montes,Honduras,0,75,Defender,0,Honduras
Switzerland,1.71,"16 October, 1987",0,0,0,0,0,Olanchito,736396,0,0,0,0,0,Rony Martínez,Honduras,0,75,Forward,0,Honduras
Honduras,1.86,"20 December, 1991",0,1,0,0,0,Wil,660387,0,0,1,0,0,Fabian Schar,Switzerland,18,85,Defender,7,Switzerland
Honduras,1.92,"18 January, 1987",0,1,2,0,0,Abidjan,346236,0,1,3,0,0,Johan Djourou,Ivory Coast,16,87,Defender,10,Switzerland
Honduras,1.80,"25 August, 1992",0,0,1,0,0,Zurich,518541,0,1,0,0,1,Ricardo Rodríguez,Switzerland,24,72,Defender,10,Switzerland
Honduras,1.84,"19 April, 1985",0,0,1,0,0,Mitrovica,346358,0,4,1,0,0,Valon Behrami,Yugoslavia,27,78,Midfielder,7,Switzerland
Honduras,1.81,"27 June, 1984",0,0,0,1,2,Olten,402362,0,1,1,0,0,Gokhan Inler,Switzerland,44,80,Midfielder,6,Switzerland
Honduras,1.69,"10 October, 1991",0,0,2,6,7,Gnjilane,508003,2,5,3,3,0,Xherdan Shaqiri,Yugoslavia,32,72,Midfielder,5,Switzerland
Honduras,1.83,"27 September, 1992",0,0,0,2,3,Basel,552969,0,0,1,0,0,Granit Xhaka,Switzerland,23,82,Midfielder,3,Switzerland
Honduras,1.83,"16 March, 1991",0,1,0,1,1,Gostivar,457113,0,1,1,0,1,Admir Mehmedi,Yugoslavia,26,76,Forward,6,Switzerland
Honduras,1.82,"8 August, 1992",2,0,0,3,3,Freienbach,602354,4,1,2,0,0,Josip Drmic,Switzerland,12,70,Forward,4,Switzerland
Honduras,1.85,"8 February, 1991",0,0,0,0,0,Egnach,402305,1,1,0,0,0,Michael Lang,Switzerland,4,79,Defender,0,Switzerland
Honduras,1.79,"12 April, 1986",0,0,0,0,0,Tetovo,360062,0,1,0,0,0,Blerim Dzemaili,Yugoslavia,0,73,Midfielder,0,Switzerland
Honduras,1.87,"22 February, 1992",0,0,0,0,0,Sursee,538348,0,1,0,0,0,Haris Seferovic,Switzerland,5,83,Forward,0,Switzerland
Honduras,1.78,"22 May, 1985",0,0,0,0,0,St Gallen,345642,0,0,0,0,0,Tranquillo Barnetta,Switzerland,0,68,Midfielder,0,Switzerland
Honduras,1.90,"14 February, 1985",0,0,0,0,0,Geneva,346122,0,0,0,0,0,Philippe Senderos,Switzerland,0,84,Defender,0,Switzerland
Honduras,1.83,"16 January, 1986",0,0,0,0,0,Nyon,346182,0,0,0,0,0,Reto Ziegler,Switzerland,0,80,Defender,0,Switzerland
Honduras,1.79,"2 September, 1986",0,0,0,0,0,Praia,395615,0,0,0,0,0,Gelson Fernandes,Cape Verde,0,70,Midfielder,0,Switzerland
Honduras,1.83,"10 June, 1983",0,0,0,0,0,Schattenhalb,401315,0,0,0,0,0,Steve Von Bergen,Switzerland,0,79,Defender,0,Switzerland
Honduras,1.79,"12 April, 1989",0,0,0,0,0,Kriens,402366,0,0,0,0,0,Valentin Stocker,Switzerland,0,73,Midfielder,0,Switzerland
Honduras,1.75,"24 November, 1989",0,0,0,0,0,Lugano,507387,0,0,0,0,0,Mario Gavranovic,Switzerland,0,74,Forward,0,Switzerland
Switzerland,1.78,"3 May, 1977",0,0,0,0,0,Comayagua,363537,0,0,0,0,0,Noel Valladares,Honduras,0,80,Goalkeeper,0,Honduras
Switzerland,1.80,"3 February, 1981",0,0,0,0,0,San Ignacio,504478,0,0,0,0,0,Donis Escober,Honduras,0,75,Goalkeeper,0,Honduras
Switzerland,1.82,"13 September, 1993",0,0,0,0,0,San Pedro Sula,826222,0,0,0,0,0,Luis López,Honduras,0,75,Goalkeeper,0,Honduras
Honduras,1.83,"17 December, 1988",0,0,0,0,0,Morges,349443,0,0,0,0,0,Yann Sommer,Switzerland,0,79,Goalkeeper,0,Switzerland
Honduras,1.88,"14 November, 1990",0,0,0,0,0,Munsingen,457102,0,0,0,0,0,Roman Burki,Switzerland,0,83,Goalkeeper,0,Switzerland
France,1.79,"8 July, 1987",0,0,0,0,0,Esmeraldas,490995,1,1,1,0,0,Juan Paredes,Ecuador,30,72,Defender,4,Ecuador
France,1.79,"28 September, 1981",0,2,0,0,0,Esmeraldas,363468,1,2,1,0,0,Jorge Guagua,Ecuador,24,75,Defender,5,Ecuador
France,1.89,"5 May, 1988",0,2,2,0,0,Esmeraldas,490600,0,1,0,0,0,Frickson Erazo,Ecuador,24,65,Defender,6,Ecuador
France,1.73,"11 August, 1979",0,1,1,1,1,Esmeraldas,363473,0,1,1,0,0,Walter Ayoví,Ecuador,28,68,Midfielder,6,Ecuador
France,1.80,"4 August, 1985",0,1,0,1,1,Nueva Loja,345938,0,5,1,0,0,Antonio Valencia,Ecuador,20,78,Midfielder,2,Ecuador
France,1.83,"26 July, 1983",0,2,0,0,0,Pasaje,373114,0,2,0,0,0,Oswaldo Minda,Ecuador,25,78,Midfielder,4,Ecuador
France,1.81,"9 April, 1985",0,1,1,2,3,Guayaquil,504629,0,0,0,0,0,Cristhian Noboa,Ecuador,21,75,Midfielder,5,Ecuador
France,1.70,"1 September, 1989",0,2,0,0,0,Babahoyo,505420,1,0,0,0,0,Jefferson Montero,Ecuador,6,64,Midfielder,3,Ecuador
France,1.78,"23 April, 1987",0,2,1,0,2,Guayaquil,387218,2,2,0,0,0,Michael Arroyo,Ecuador,26,72,Midfielder,3,Ecuador
France,1.79,"4 November, 1989",0,1,0,1,2,San Lorenzo,537827,1,1,1,0,1,Enner Valencia,Ecuador,5,68,Forward,0,Ecuador
France,1.83,"24 March, 1985",0,0,0,0,0,Machala,510647,0,0,0,0,0,Gabriel Achilier,Ecuador,0,83,Defender,0,Ecuador
France,1.83,"5 September, 1988",0,0,0,0,0,Guayaquil,402045,0,0,0,0,0,Felipe Caicedo,Ecuador,1,80,Forward,0,Ecuador
France,1.71,"20 January, 1991",0,0,0,2,2,Ambuqui,605529,1,2,1,0,0,Álex Ibarra,Ecuador,4,70,Midfielder,1,Ecuador
France,1.75,"16 March, 1979",0,0,0,0,0,Quito,347949,0,0,0,0,0,Edison Méndez,Ecuador,0,68,Midfielder,0,Ecuador
France,1.75,"20 October, 1983",0,0,0,0,0,Loja,372560,0,0,0,0,0,Luis Saritama,Ecuador,0,76,Midfielder,0,Ecuador
France,1.70,"10 December, 1982",0,0,0,0,0,Esmeraldas,374579,0,0,0,0,0,Óscar Bagüí,Ecuador,0,65,Defender,0,Ecuador
France,1.86,"21 February, 1988",0,0,0,0,0,Eloy Alfaro,387226,0,0,0,0,0,Jaime Ayoví,Ecuador,0,61,Forward,0,Ecuador
France,1.73,"14 June, 1989",0,0,0,0,0,La Troncal,510665,0,0,0,0,0,Joao Rojas,Ecuador,0,68,Forward,0,Ecuador
France,1.76,"15 February, 1990",0,0,0,0,0,Sucumbios,557536,0,0,0,0,0,Fidel Martínez,Ecuador,0,67,Midfielder,0,Ecuador
France,1.71,"19 April, 1995",0,0,0,0,0,Santo Domingo,688883,0,0,0,0,0,Carlos Gruezo,Ecuador,0,67,Midfielder,0,Ecuador
Ecuador,1.75,"14 February, 1983",0,1,0,0,0,Sens,347680,6,0,1,0,0,Bacary Sagna,France,40,72,Defender,1,France
Ecuador,1.85,"10 September, 1985",0,2,1,0,0,Tulle,459434,0,1,1,0,0,Laurent Koscielny,France,44,75,Defender,8,France
Ecuador,1.86,"13 February, 1990",0,0,2,0,0,Paris,377035,0,0,1,0,0,Mamadou Sakho,France,50,74,Defender,9,France
Ecuador,1.79,"20 July, 1993",0,1,3,0,0,Meaux,558151,6,1,4,0,0,Lucas Digne,France,56,74,Defender,11,France
Ecuador,1.92,"15 March, 1993",0,0,1,4,7,Lagny-sur-Marne,588585,6,0,2,0,0,Paul Pogba,France,65,80,Midfielder,6,France
Ecuador,1.81,"8 November, 1989",0,1,1,0,1,Zellwiller,394208,0,0,1,0,0,Morgan Schneiderlin,France,65,75,Midfielder,10,France
Ecuador,1.75,"9 April, 1987",0,1,0,1,1,Toulouse,347763,3,0,1,0,0,Blaise Matuidi,France,47,70,Midfielder,5,France
Ecuador,1.75,"21 March, 1991",0,3,0,1,2,Macon,524262,2,2,0,0,0,Antoine Griezmann,France,35,68,Forward,1,France
Ecuador,1.85,"19 December, 1987",0,0,0,4,5,Lyon,347725,2,0,0,0,0,Karim Benzema,France,26,79,Forward,1,France
Ecuador,1.87,"16 August, 1989",0,1,0,1,2,Le Blanc-Mesnil,397904,9,2,2,0,1,Moussa Sissoko,France,38,88,Midfielder,1,France
Ecuador,1.92,"30 September, 1986",0,0,0,1,1,Chambery,440565,0,0,2,0,0,Olivier Giroud,France,7,88,Forward,0,France
Ecuador,1.85,"2 January, 1987",0,0,0,1,1,Rillieux-la-Pape,347919,2,0,0,0,0,Loic Remy,France,5,82,Forward,0,France
Ecuador,1.91,"25 April, 1993",0,1,0,0,0,Lille,572654,0,0,0,0,0,Raphael Varane,France,12,78,Defender,1,France
Ecuador,1.71,"15 May, 1981",0,0,0,0,0,Dakar,346097,0,0,0,0,0,Patrice Evra,Senegal,0,76,Defender,0,France
Ecuador,1.72,"8 March, 1984",0,0,0,0,0,Born at sea,347649,0,0,0,0,0,Rio Mavuba,Angola,0,74,Midfielder,0,France
Ecuador,1.78,"28 July, 1985",0,0,0,0,0,Fretin,347705,0,0,0,0,0,Mathieu Debuchy,France,0,78,Defender,0,France
Ecuador,1.67,"28 September, 1984",0,0,0,0,0,Bruges,347887,0,0,0,0,0,Mathieu Valbuena,France,0,58,Midfielder,0,France
Ecuador,1.88,"13 February, 1991",0,0,0,0,0,Paris,479948,0,0,0,0,0,Eliaquim Mangala,France,0,81,Defender,0,France
Ecuador,1.72,"8 March, 1990",0,0,0,0,0,Ajaccio,508852,0,0,0,0,0,Remy Cabella,France,0,66,Forward,0,France
France,1.96,"5 June, 1987",0,0,0,0,0,Tachina,376188,0,0,0,0,0,Alexander Domínguez,Ecuador,0,80,Goalkeeper,0,Ecuador
France,1.87,"16 December, 1985",0,0,0,0,0,Guayaquil,554701,0,0,0,0,0,Máximo Banguera,Ecuador,0,84,Goalkeeper,0,Ecuador
France,1.88,"8 September, 1988",0,0,0,0,0,Esmeraldas,586284,0,0,0,0,0,Adrián Bone,Ecuador,0,76,Goalkeeper,0,Ecuador
Ecuador,1.84,"14 May, 1979",0,0,0,0,0,Machecoul,347486,0,0,0,0,0,Mickael Landreau,France,0,85,Goalkeeper,0,France
Ecuador,1.88,"27 September, 1986",0,0,0,0,0,Bayonne,350484,0,0,0,0,0,Stephane Ruffier,France,0,90,Goalkeeper,0,France
Germany,1.82,"11 December, 1987",0,2,0,0,0,Munich,408161,2,0,2,0,0,Fabian Johnson,West Germany,37,74,Defender,2,United States
Germany,1.95,"11 October, 1988",0,2,0,0,0,Dallas,490205,0,1,1,0,0,Omar González,United States,26,95,Defender,6,United States
Germany,1.70,"24 May, 1982",0,3,0,0,1,Fort Wayne,274790,0,2,0,0,0,DaMarcus Beasley,United States,37,66,Defender,4,United States
Germany,1.81,"23 April, 1982",0,1,1,0,0,Crofton,274879,0,4,1,0,0,Kyle Beckerman,United States,47,75,Midfielder,7,United States
Germany,1.77,"18 August, 1986",0,2,1,0,1,Longwood,490225,0,0,1,0,0,Graham Zusi,United States,30,73,Midfielder,2,United States
Germany,1.85,"31 July, 1987",0,0,1,0,0,Princeton,275241,1,3,1,0,0,Michael Bradley,United States,52,86,Midfielder,1,United States
Germany,1.80,"8 November, 1981",0,0,0,0,0,St. Charles,275001,0,1,0,0,1,Brad Davis,United States,19,75,Midfielder,2,United States
Germany,1.85,"9 March, 1983",0,0,1,0,1,Nacogdoches,275213,0,1,0,0,1,Clint Dempsey,United States,19,85,Forward,1,United States
Germany,1.78,"29 April, 1987",0,1,0,1,1,Miami,537545,0,1,0,0,0,Alejandro Bedoya,United States,4,73,Midfielder,2,United States
Germany,1.75,"9 July, 1993",0,0,1,0,0,Seattle,723625,1,0,0,0,0,DeAndre Yedlin,United States,2,68,Defender,0,United States
Germany,1.82,"28 January, 1983",0,0,0,0,0,Livermore,322579,0,0,0,0,0,Chris Wondolowski,United States,0,75,Forward,0,United States
Germany,1.90,"11 July, 1985",0,0,0,0,0,Attleboro,439571,0,0,0,0,0,Geoff Cameron,United States,0,84,Defender,0,United States
Germany,1.86,"29 March, 1990",0,0,0,0,0,Frankfurt am Main,483865,0,0,0,0,0,Timmy Chandler,West Germany,0,83,Defender,0,United States
Germany,1.82,"2 October, 1990",0,0,0,0,0,Oslo,517263,0,0,0,0,0,Mix Diskerud,Norway,0,71,Midfielder,0,United States
Germany,1.82,"10 November, 1990",0,0,0,0,0,Reykjavik,599865,0,0,0,0,0,Aron Johannsson,Iceland,0,75,Forward,0,United States
Germany,1.93,"28 January, 1993",0,0,0,0,0,Berlin,604284,0,0,0,0,0,John Brooks,Germany,0,78,Defender,0,United States
Germany,1.72,"6 June, 1995",0,0,0,0,0,Tampa,787674,0,0,0,0,0,Julian Green,United States,0,60,Midfielder,0,United States
United States,1.92,"3 September, 1988",0,1,0,0,0,Berlin,376673,9,1,0,0,0,Jerome Boateng,West Germany,59,90,Defender,3,Germany
United States,1.92,"16 December, 1988",0,0,1,0,0,Bensberg,351086,0,1,0,0,0,Mats Hummels,West Germany,63,90,Defender,10,Germany
United States,1.87,"29 February, 1988",0,2,0,2,2,Haltern,378278,2,2,1,0,0,Benedikt Howedes,West Germany,52,80,Defender,8,Germany
United States,1.70,"11 November, 1983",0,1,0,0,0,Munich,345573,1,1,2,0,0,Philipp Lahm,West Germany,110,66,Midfielder,7,Germany
United States,1.82,"4 January, 1990",0,0,0,2,2,Greifswald,397482,2,0,0,0,0,Toni Kroos,East Germany,105,78,Midfielder,1,Germany
United States,1.80,"4 June, 1985",0,0,1,0,2,Gliwice,345608,2,0,1,0,1,Lukas Podolski,Poland,20,83,Forward,2,Germany
United States,1.86,"13 September, 1989",0,0,0,2,2,Weilheim,461803,2,0,2,1,4,Thomas Müller,West Germany,29,75,Forward,1,Germany
United States,1.76,"3 June, 1992",0,1,0,0,0,Memmingen,505351,0,0,1,0,0,Mario Götze,Germany,11,64,Forward,0,Germany
United States,1.82,"9 June, 1978",0,0,0,0,1,Opole,345428,0,1,1,0,1,Miroslav Klose,Poland,4,84,Forward,1,Germany
United States,1.84,"6 November, 1990",0,0,0,1,1,Ludwigshafen,504595,0,0,0,0,0,André Schurrle,Germany,3,63,Forward,0,Germany
United States,1.89,"4 April, 1987",0,0,0,0,0,Stuttgart,345802,0,0,0,0,0,Sami Khedira,West Germany,0,85,Midfielder,0,Germany
United States,1.86,"19 July, 1988",0,0,0,0,0,Dortmund,468085,0,0,0,0,0,Kevin Großkreutz,West Germany,0,72,Defender,0,Germany
United States,1.84,"17 April, 1992",0,0,0,0,0,Bad Hersfeld,499547,0,0,0,0,0,Shkodran Mustafi,Germany,0,82,Defender,0,Germany
United States,1.89,"19 February, 1991",0,0,0,0,0,Solingen,564033,0,0,0,0,0,Christoph Kramer,Germany,0,82,Midfielder,0,Germany
United States,1.85,"20 September, 1993",0,0,0,0,0,Gladbeck,585825,0,0,0,0,0,Julian Draxler,Germany,0,74,Midfielder,0,Germany
United States,1.87,"19 January, 1994",0,0,0,0,0,Freiburg,640301,0,0,0,0,0,Matthias Ginter,Germany,0,85,Defender,0,Germany
United States,1.83,"12 May, 1992",0,0,0,0,0,Pirmasens,660536,0,0,0,0,0,Erik Durm,Germany,0,73,Defender,0,Germany
Germany,1.87,"6 March, 1979",0,0,0,0,0,North Brunswick,274190,0,0,0,0,0,Tim Howard,United States,0,95,Goalkeeper,0,United States
Germany,1.82,"17 June, 1979",0,0,0,0,0,Montclair,274846,0,0,0,0,0,Nick Rimando,United States,0,86,Goalkeeper,0,United States
Germany,1.93,"9 September, 1984",0,0,0,0,0,Homer Glen,322494,0,0,0,0,0,Brad Guzan,United States,0,95,Goalkeeper,0,United States
United States,1.88,"6 August, 1980",0,0,0,0,0,Diez,345366,0,0,0,0,0,Roman Weidenfeller,West Germany,0,85,Goalkeeper,0,Germany
United States,1.87,"12 February, 1989",0,0,0,0,0,Cologne,375927,0,0,0,0,0,Ron-Robert Zieler,West Germany,0,83,Goalkeeper,0,Germany
Ghana,1.72,"25 February, 1984",0,0,0,0,0,Lisbon,415581,5,0,1,0,0,Joao Pereira,Portugal,23,64,Defender,3,Portugal
Ghana,1.86,"26 February, 1983",0,1,1,0,0,Maceio,349048,0,2,2,0,0,Pepe,Brazil,39,81,Defender,13,Portugal
Ghana,1.87,"27 November, 1981",0,0,4,0,0,Povoa de Varzim,349050,0,3,1,0,0,Bruno Alves,Portugal,33,80,Defender,18,Portugal
Ghana,1.81,"11 May, 1986",0,3,0,0,0,Coimbra,348978,9,0,2,0,0,Miguel Veloso,Portugal,39,78,Midfielder,10,Portugal
Ghana,1.70,"8 September, 1986",0,1,2,0,1,Portimao,348981,0,4,2,0,0,Joao Joao Moutinho,Portugal,64,61,Midfielder,7,Portugal
Ghana,1.85,"7 April, 1992",0,0,5,0,0,Luanda,565439,1,5,0,0,0,William,Angola,53,87,Midfielder,10,Portugal
Ghana,1.80,"27 January, 1985",0,0,1,0,1,Lisbon,441986,1,2,1,0,0,Ruben Amorim,Portugal,39,78,Midfielder,6,Portugal
Ghana,1.75,"17 November, 1986",0,0,1,2,5,Praia,348983,4,0,1,0,0,Nani,Cape Verde,42,66,Forward,8,Portugal
Ghana,1.90,"22 December, 1987",0,0,0,0,1,Bissau,442081,1,2,1,0,0,Eder,Guinea-Bissau,16,81,Forward,3,Portugal
Ghana,1.85,"5 February, 1985",0,0,1,7,9,Madeira,346135,1,1,5,1,0,Cristiano Ronaldo,Portugal,27,80,Forward,1,Portugal
Ghana,1.70,"24 January, 1986",0,0,1,0,0,Guimaraes,349060,4,1,0,0,0,Vieirinha,Portugal,8,73,Forward,3,Portugal
Ghana,1.80,"2 February, 1985",0,0,1,1,2,Almada,398659,3,1,0,0,0,Silvestre Varela,Portugal,9,79,Forward,0,Portugal
Ghana,1.83,"16 May, 1981",0,0,0,0,0,Vila Nova de Gaia,348894,0,0,0,0,0,Ricardo Costa,Portugal,0,80,Defender,0,Portugal
Ghana,1.79,"17 March, 1983",0,0,0,0,0,Aves,349054,0,0,0,0,0,Raul Meireles,Portugal,0,78,Midfielder,0,Portugal
Ghana,1.86,"26 May, 1988",0,0,0,0,0,Povoa de Varzim,607949,0,0,0,0,0,Luis Neto,Portugal,0,71,Defender,0,Portugal
Ghana,1.73,"17 May, 1993",0,0,0,0,0,Barreiro,748968,0,0,0,0,0,Rafa,Portugal,0,66,Forward,0,Portugal
