nome,chutes,passes_completados,bolas_recuperadas,desarmes,defesas,distancia,jogos,time
10   JAMES,15.0,130.0,7.0,8.0,0.0,36045.0,4,Colômbia
10   JAMES,15.0,130.0,7.0,8.0,0.0,36045.0,4,Colômbia
10   JAMES,15.0,130.0,7.0,8.0,0.0,36045.0,4,Colômbia
10   JAMES,15.0,130.0,7.0,8.0,0.0,36045.0,4,Colômbia
10   KAGAWA,5.0,99.0,9.0,7.0,0.0,24635.0,3,Japão
10   KAGAWA,5.0,99.0,9.0,7.0,0.0,24635.0,3,Japão
10   KAGAWA,5.0,99.0,9.0,7.0,0.0,24635.0,3,Japão
10   KARAGOUNIS,3.0,46.0,5.0,9.0,0.0,17364.0,3,Grécia
10   KARAGOUNIS,3.0,46.0,5.0,9.0,0.0,17364.0,3,Grécia
10   KARAGOUNIS,3.0,46.0,5.0,9.0,0.0,17364.0,3,Grécia
10   KARIM,0.0,5.0,0.0,0.0,0.0,2984.0,1,Irã
10   M. MARTINEZ,2.0,11.0,1.0,0.0,0.0,2183.0,1,Honduras
10   MESSI,13.0,118.0,1.0,1.0,0.0,22313.0,3,Argentina
10   MESSI,13.0,118.0,1.0,1.0,0.0,22313.0,3,Argentina
10   MESSI,13.0,118.0,1.0,1.0,0.0,22313.0,3,Argentina
10   MIKEL,3.0,154.0,14.0,7.0,0.0,29860.0,3,Nigéria
10   MIKEL,3.0,154.0,14.0,7.0,0.0,29860.0,3,Nigéria
10   MIKEL,3.0,154.0,14.0,7.0,0.0,29860.0,3,Nigéria
10   MISIMOVIĆ,3.0,67.0,2.0,2.0,0.0,19041.0,2,Bósnia e Herzegovina
10   MISIMOVIĆ,3.0,67.0,2.0,2.0,0.0,19041.0,2,Bósnia e Herzegovina
10   MODRIĆ,2.0,135.0,12.0,4.0,0.0,28886.0,3,Croácia
10   MODRIĆ,2.0,135.0,12.0,4.0,0.0,28886.0,3,Croácia
10   MODRIĆ,2.0,135.0,12.0,4.0,0.0,28886.0,3,Croácia
10   NEYMAR JR,15.0,113.0,13.0,6.0,0.0,40845.0,4,Brasil
10   NEYMAR JR,15.0,113.0,13.0,6.0,0.0,40845.0,4,Brasil
10   NEYMAR JR,15.0,113.0,13.0,6.0,0.0,40845.0,4,Brasil
10   NEYMAR JR,15.0,113.0,13.0,6.0,0.0,40845.0,4,Brasil
10   PODOLSKI,2.0,30.0,3.0,3.0,0.0,6590.0,2,Alemanha
10   PODOLSKI,2.0,30.0,3.0,3.0,0.0,6590.0,2,Alemanha
10   ROONEY,9.0,56.0,0.0,1.0,0.0,23704.0,3,Inglaterra
10   ROONEY,9.0,56.0,0.0,1.0,0.0,23704.0,3,Inglaterra
10   ROONEY,9.0,56.0,0.0,1.0,0.0,23704.0,3,Inglaterra
10   RUIZ B.,4.0,90.0,6.0,3.0,0.0,29418.0,3,Costa Rica
10   RUIZ B.,4.0,90.0,6.0,3.0,0.0,29418.0,3,Costa Rica
10   RUIZ B.,4.0,90.0,6.0,3.0,0.0,29418.0,3,Costa Rica
10   SNEIJDER,6.0,77.0,7.0,4.0,0.0,31112.0,3,Holanda
10   SNEIJDER,6.0,77.0,7.0,4.0,0.0,31112.0,3,Holanda
10   SNEIJDER,6.0,77.0,7.0,4.0,0.0,31112.0,3,Holanda
10   VALDIVIA,2.0,45.0,1.0,5.0,0.0,11163.0,3,Chile
10   VALDIVIA,2.0,45.0,1.0,5.0,0.0,11163.0,3,Chile
10   VALDIVIA,2.0,45.0,1.0,5.0,0.0,11163.0,3,Chile
10   VIEIRINHA,0.0,8.0,2.0,0.0,0.0,3119.0,1,Portugal
10   W. AYOVI,3.0,128.0,17.0,0.0,0.0,27746.0,3,Equador
10   W. AYOVI,3.0,128.0,17.0,0.0,0.0,27746.0,3,Equador
10   W. AYOVI,3.0,128.0,17.0,0.0,0.0,27746.0,3,Equador
10   XHAKA,10.0,110.0,1.0,5.0,0.0,32268.0,3,Suíça
10   XHAKA,10.0,110.0,1.0,5.0,0.0,32268.0,3,Suíça
10   XHAKA,10.0,110.0,1.0,5.0,0.0,32268.0,3,Suíça
11   BARRANTES M.,0.0,12.0,2.0,0.0,0.0,2985.0,2,Costa Rica
11   BARRANTES M.,0.0,12.0,2.0,0.0,0.0,2985.0,2,Costa Rica
11   BEDOYA,3.0,46.0,2.0,6.0,0.0,23755.0,3,EUA
11   BEDOYA,3.0,46.0,2.0,6.0,0.0,23755.0,3,EUA
11   BEDOYA,3.0,46.0,2.0,6.0,0.0,23755.0,3,EUA
11   BEHRAMI,1.0,116.0,13.0,5.0,0.0,27725.0,3,Suíça
11   BEHRAMI,1.0,116.0,13.0,5.0,0.0,27725.0,3,Suíça
11   BEHRAMI,1.0,116.0,13.0,5.0,0.0,27725.0,3,Suíça
11   BENGTSON,4.0,40.0,2.0,3.0,0.0,22219.0,3,Honduras
11   BENGTSON,4.0,40.0,2.0,3.0,0.0,22219.0,3,Honduras
11   BENGTSON,4.0,40.0,2.0,3.0,0.0,22219.0,3,Honduras
11   BRAHIMI,4.0,62.0,4.0,4.0,0.0,18706.0,2,Argélia
11   BRAHIMI,4.0,62.0,4.0,4.0,0.0,18706.0,2,Argélia
11   C. STUANI,2.0,30.0,6.0,3.0,0.0,22509.0,4,Uruguai
11   C. STUANI,2.0,30.0,6.0,3.0,0.0,22509.0,4,Uruguai
11   C. STUANI,2.0,30.0,6.0,3.0,0.0,22509.0,4,Uruguai
11   C. STUANI,2.0,30.0,6.0,3.0,0.0,22509.0,4,Uruguai
11   CAICEDO,1.0,29.0,3.0,3.0,0.0,14839.0,3,Equador
11   CAICEDO,1.0,29.0,3.0,3.0,0.0,14839.0,3,Equador
11   CAICEDO,1.0,29.0,3.0,3.0,0.0,14839.0,3,Equador
11   CERCI,0.0,4.0,0.0,0.0,0.0,2366.0,1,Itália
11   CUADRADO,5.0,95.0,7.0,14.0,0.0,33788.0,4,Colômbia
11   CUADRADO,5.0,95.0,7.0,14.0,0.0,33788.0,4,Colômbia
11   CUADRADO,5.0,95.0,7.0,14.0,0.0,33788.0,4,Colômbia
11   CUADRADO,5.0,95.0,7.0,14.0,0.0,33788.0,4,Colômbia
11   DROGBA,3.0,21.0,2.0,3.0,0.0,14493.0,3,Costa do Marfim
11   DROGBA,3.0,21.0,2.0,3.0,0.0,14493.0,3,Costa do Marfim
11   DROGBA,3.0,21.0,2.0,3.0,0.0,14493.0,3,Costa do Marfim
11   DŽEKO,12.0,52.0,3.0,0.0,0.0,28233.0,3,Bósnia e Herzegovina
11   DŽEKO,12.0,52.0,3.0,0.0,0.0,28233.0,3,Bósnia e Herzegovina
11   DŽEKO,12.0,52.0,3.0,0.0,0.0,28233.0,3,Bósnia e Herzegovina
11   GRIEZMANN,5.0,68.0,2.0,0.0,0.0,22281.0,3,França
11   GRIEZMANN,5.0,68.0,2.0,0.0,0.0,22281.0,3,França
11   GRIEZMANN,5.0,68.0,2.0,0.0,0.0,22281.0,3,França
11   K H LEE,7.0,30.0,3.0,1.0,0.0,14965.0,3,Coreia do Sul
11   K H LEE,7.0,30.0,3.0,1.0,0.0,14965.0,3,Coreia do Sul
11   K H LEE,7.0,30.0,3.0,1.0,0.0,14965.0,3,Coreia do Sul
11   KAKITANI,1.0,5.0,1.0,1.0,0.0,3462.0,2,Japão
11   KAKITANI,1.0,5.0,1.0,1.0,0.0,3462.0,2,Japão
11   KERZHAKOV,4.0,6.0,0.0,2.0,0.0,11957.0,3,Rússia
11   KERZHAKOV,4.0,6.0,0.0,2.0,0.0,11957.0,3,Rússia
11   KERZHAKOV,4.0,6.0,0.0,2.0,0.0,11957.0,3,Rússia
11   KLOSE,3.0,6.0,3.0,3.0,0.0,7858.0,2,Alemanha
11   KLOSE,3.0,6.0,3.0,3.0,0.0,7858.0,2,Alemanha
11   M. RODRIGUEZ,1.0,27.0,3.0,1.0,0.0,5143.0,1,Argentina
11   MAKOUN,0.0,6.0,0.0,0.0,0.0,1139.0,1,Camarões
11   MIRALLAS,3.0,22.0,2.0,0.0,0.0,12903.0,2,Bélgica
11   MIRALLAS,3.0,22.0,2.0,0.0,0.0,12903.0,2,Bélgica
11   MOSES,1.0,7.0,0.0,0.0,0.0,5833.0,1,Nigéria
11   MUNTARI,5.0,89.0,7.0,6.0,0.0,22545.0,2,Gana
11   MUNTARI,5.0,89.0,7.0,6.0,0.0,22545.0,2,Gana
11   OAR,2.0,26.0,5.0,4.0,0.0,26070.0,3,Austrália
11   OAR,2.0,26.0,5.0,4.0,0.0,26070.0,3,Austrália
11   OAR,2.0,26.0,5.0,4.0,0.0,26070.0,3,Austrália
11   OSCAR,6.0,111.0,14.0,23.0,0.0,40411.0,4,Brasil
11   OSCAR,6.0,111.0,14.0,23.0,0.0,40411.0,4,Brasil
11   OSCAR,6.0,111.0,14.0,23.0,0.0,40411.0,4,Brasil
11   OSCAR,6.0,111.0,14.0,23.0,0.0,40411.0,4,Brasil
11   PEDRO,1.0,33.0,2.0,3.0,0.0,11886.0,2,Espanha
11   PEDRO,1.0,33.0,2.0,3.0,0.0,11886.0,2,Espanha
11   ROBBEN,11.0,55.0,6.0,1.0,0.0,31357.0,3,Holanda
11   ROBBEN,11.0,55.0,6.0,1.0,0.0,31357.0,3,Holanda
11   ROBBEN,11.0,55.0,6.0,1.0,0.0,31357.0,3,Holanda
11   SRNA,4.0,97.0,8.0,7.0,0.0,30718.0,3,Croácia
11   SRNA,4.0,97.0,8.0,7.0,0.0,30718.0,3,Croácia
11   SRNA,4.0,97.0,8.0,7.0,0.0,30718.0,3,Croácia
11   VARGAS,4.0,61.0,5.0,0.0,0.0,31725.0,4,Chile
11   VARGAS,4.0,61.0,5.0,0.0,0.0,31725.0,4,Chile
11   VARGAS,4.0,61.0,5.0,0.0,0.0,31725.0,4,Chile
11   VARGAS,4.0,61.0,5.0,0.0,0.0,31725.0,4,Chile
11   WELBECK,1.0,46.0,3.0,1.0,0.0,14367.0,2,Inglaterra
11   WELBECK,1.0,46.0,3.0,1.0,0.0,14367.0,2,Inglaterra
11   ÉDER,7.0,56.0,7.0,0.0,0.0,22930.0,3,Portugal
11   ÉDER,7.0,56.0,7.0,0.0,0.0,22930.0,3,Portugal
11   ÉDER,7.0,56.0,7.0,0.0,0.0,22930.0,3,Portugal
12   A. HAGHIGHI,0.0,36.0,0.0,0.0,12.0,12651.0,3,Irã
12   A. HAGHIGHI,0.0,36.0,0.0,0.0,12.0,12651.0,3,Irã
12   A. HAGHIGHI,0.0,36.0,0.0,0.0,12.0,12651.0,3,Irã
12   B. WILFRIED,6.0,28.0,1.0,2.0,0.0,17034.0,3,Costa do Marfim
12   B. WILFRIED,6.0,28.0,1.0,2.0,0.0,17034.0,3,Costa do Marfim
12   B. WILFRIED,6.0,28.0,1.0,2.0,0.0,17034.0,3,Costa do Marfim
12   BEDIMO,0.0,36.0,6.0,2.0,0.0,9026.0,1,Camarões
12   GLYKOS,0.0,15.0,0.0,0.0,3.0,3734.0,1,Grécia
12   JULIO CESAR,0.0,80.0,0.0,0.0,6.0,16144.0,4,Brasil
12   JULIO CESAR,0.0,80.0,0.0,0.0,6.0,16144.0,4,Brasil
12   JULIO CESAR,0.0,80.0,0.0,0.0,6.0,16144.0,4,Brasil
12   JULIO CESAR,0.0,80.0,0.0,0.0,6.0,16144.0,4,Brasil
12   KWARASEY,0.0,22.0,0.0,0.0,4.0,4427.0,1,Gana
12   MAVUBA,0.0,26.0,0.0,0.0,0.0,3257.0,1,França
12   MEDJANI,2.0,64.0,12.0,6.0,0.0,32597.0,3,Argélia
12   MEDJANI,2.0,64.0,12.0,6.0,0.0,32597.0,3,Argélia
12   MEDJANI,2.0,64.0,12.0,6.0,0.0,32597.0,3,Argélia
12   RUI PATRICIO,0.0,20.0,0.0,0.0,2.0,5631.0,1,Portugal
12   SIRIGU,0.0,34.0,0.0,0.0,4.0,3986.0,1,Itália
12   SMALLING,0.0,39.0,6.0,3.0,0.0,9683.0,1,Inglaterra
12   Y LEE,1.0,121.0,18.0,6.0,0.0,31879.0,3,Coreia do Sul
12   Y LEE,1.0,121.0,18.0,6.0,0.0,31879.0,3,Coreia do Sul
12   Y LEE,1.0,121.0,18.0,6.0,0.0,31879.0,3,Coreia do Sul
13   BOZANIC,1.0,36.0,3.0,1.0,0.0,15396.0,2,Austrália
13   BOZANIC,1.0,36.0,3.0,1.0,0.0,15396.0,2,Austrália
13   CHOUPO-MOTING,5.0,55.0,8.0,2.0,0.0,25644.0,3,Camarões
13   CHOUPO-MOTING,5.0,55.0,8.0,2.0,0.0,25644.0,3,Camarões
13   CHOUPO-MOTING,5.0,55.0,8.0,2.0,0.0,25644.0,3,Camarões
13   COSTLY,3.0,33.0,2.0,2.0,0.0,22272.0,3,Honduras
13   COSTLY,3.0,33.0,2.0,2.0,0.0,22272.0,3,Honduras
13   COSTLY,3.0,33.0,2.0,2.0,0.0,22272.0,3,Honduras
13   E. VALENCIA,8.0,43.0,7.0,3.0,0.0,26957.0,3,Equador
13   E. VALENCIA,8.0,43.0,7.0,3.0,0.0,26957.0,3,Equador
13   E. VALENCIA,8.0,43.0,7.0,3.0,0.0,26957.0,3,Equador
13   FOSTER,0.0,23.0,0.0,0.0,2.0,4231.0,1,Inglaterra
13   G. OCHOA,0.0,51.0,0.0,0.0,8.0,11862.0,3,México
13   G. OCHOA,0.0,51.0,0.0,0.0,8.0,11862.0,3,México
13   G. OCHOA,0.0,51.0,0.0,0.0,8.0,11862.0,3,México
13   GUARIN,0.0,23.0,6.0,3.0,0.0,11995.0,2,Colômbia
13   GUARIN,0.0,23.0,6.0,3.0,0.0,11995.0,2,Colômbia
13   J C KOO,6.0,96.0,7.0,8.0,0.0,34656.0,3,Coreia do Sul
13   J C KOO,6.0,96.0,7.0,8.0,0.0,34656.0,3,Coreia do Sul
13   J C KOO,6.0,96.0,7.0,8.0,0.0,34656.0,3,Coreia do Sul
13   J. AYEW,5.0,28.0,3.0,1.0,0.0,15777.0,3,Gana
13   J. AYEW,5.0,28.0,3.0,1.0,0.0,15777.0,3,Gana
13   J. AYEW,5.0,28.0,3.0,1.0,0.0,15777.0,3,Gana
13   J.M. GIMENEZ,1.0,57.0,14.0,8.0,0.0,26861.0,3,Uruguai
13   J.M. GIMENEZ,1.0,57.0,14.0,8.0,0.0,26861.0,3,Uruguai
13   J.M. GIMENEZ,1.0,57.0,14.0,8.0,0.0,26861.0,3,Uruguai
13   JONES,4.0,83.0,9.0,8.0,0.0,32648.0,3,EUA
13   JONES,4.0,83.0,9.0,8.0,0.0,32648.0,3,EUA
13   JONES,4.0,83.0,9.0,8.0,0.0,32648.0,3,EUA
13   MATA,2.0,31.0,0.0,1.0,0.0,4505.0,1,Espanha
13   MUJDŽA,0.0,63.0,9.0,2.0,0.0,18214.0,2,Bósnia e Herzegovina
13   MUJDŽA,0.0,63.0,9.0,2.0,0.0,18214.0,2,Bósnia e Herzegovina
13   MÜLLER,7.0,79.0,3.0,2.0,0.0,33902.0,3,Alemanha
13   MÜLLER,7.0,79.0,3.0,2.0,0.0,33902.0,3,Alemanha
13   MÜLLER,7.0,79.0,3.0,2.0,0.0,33902.0,3,Alemanha
13   OKUBO,9.0,50.0,1.0,3.0,0.0,22266.0,3,Japão
13   OKUBO,9.0,50.0,1.0,3.0,0.0,22266.0,3,Japão
13   OKUBO,9.0,50.0,1.0,3.0,0.0,22266.0,3,Japão
13   OSHANIWA,0.0,83.0,13.0,7.0,0.0,28880.0,3,Nigéria
13   OSHANIWA,0.0,83.0,13.0,7.0,0.0,28880.0,3,Nigéria
13   OSHANIWA,0.0,83.0,13.0,7.0,0.0,28880.0,3,Nigéria
13   R. COSTA,0.0,67.0,8.0,3.0,0.0,14071.0,2,Portugal
13   R. COSTA,0.0,67.0,8.0,3.0,0.0,14071.0,2,Portugal
13   RODRIGUEZ,2.0,120.0,20.0,12.0,0.0,28971.0,3,Suíça
13   RODRIGUEZ,2.0,120.0,20.0,12.0,0.0,28971.0,3,Suíça
13   RODRIGUEZ,2.0,120.0,20.0,12.0,0.0,28971.0,3,Suíça
13   ROJAS,0.0,0.0,0.0,0.0,0.0,1381.0,1,Chile
13   SLIMANI,6.0,37.0,2.0,2.0,0.0,24728.0,3,Argélia
13   SLIMANI,6.0,37.0,2.0,2.0,0.0,24728.0,3,Argélia
13   SLIMANI,6.0,37.0,2.0,2.0,0.0,24728.0,3,Argélia
13   VELTMAN,0.0,5.0,0.0,3.0,0.0,2032.0,1,Holanda
13   YA KONAN,0.0,8.0,0.0,0.0,0.0,2027.0,1,Costa do Marfim
14   ADOMAH,0.0,8.0,0.0,0.0,0.0,2158.0,1,Gana
14   ALONSO,3.0,145.0,12.0,4.0,0.0,23447.0,3,Espanha
14   ALONSO,3.0,145.0,12.0,4.0,0.0,23447.0,3,Espanha
14   ALONSO,3.0,145.0,12.0,4.0,0.0,23447.0,3,Espanha
14   ANDRANIK,2.0,72.0,18.0,12.0,0.0,32825.0,3,Irã
14   ANDRANIK,2.0,72.0,18.0,12.0,0.0,32825.0,3,Irã
14   ANDRANIK,2.0,72.0,18.0,12.0,0.0,32825.0,3,Irã
14   AOYAMA,1.0,25.0,2.0,3.0,0.0,7348.0,1,Japão
14   BENTALEB,2.0,112.0,16.0,10.0,0.0,34253.0,3,Argélia
14   BENTALEB,2.0,112.0,16.0,10.0,0.0,34253.0,3,Argélia
14   BENTALEB,2.0,112.0,16.0,10.0,0.0,34253.0,3,Argélia
14   BONIEK,2.0,69.0,5.0,2.0,0.0,21364.0,3,Honduras
14   BONIEK,2.0,69.0,5.0,2.0,0.0,21364.0,3,Honduras
14   BONIEK,2.0,69.0,5.0,2.0,0.0,21364.0,3,Honduras
14   BRENES R.,2.0,16.0,1.0,0.0,0.0,7998.0,2,Costa Rica
14   BRENES R.,2.0,16.0,1.0,0.0,0.0,7998.0,2,Costa Rica
14   BROZOVIĆ,2.0,13.0,2.0,2.0,0.0,4371.0,1,Croácia
14   CHEDJOU,2.0,49.0,12.0,3.0,0.0,12891.0,2,Camarões
14   CHEDJOU,2.0,49.0,12.0,3.0,0.0,12891.0,2,Camarões
14   DAVIS,0.0,19.0,2.0,1.0,0.0,7707.0,1,EUA
14   DIOMANDE,0.0,2.0,0.0,0.0,0.0,1635.0,1,Costa do Marfim
14   HENDERSON,3.0,100.0,10.0,1.0,0.0,18068.0,2,Inglaterra
14   HENDERSON,3.0,100.0,10.0,1.0,0.0,18068.0,2,Inglaterra
14   IBARBO,0.0,30.0,3.0,6.0,0.0,15686.0,2,Colômbia
14   IBARBO,0.0,30.0,3.0,6.0,0.0,15686.0,2,Colômbia
14   J. HERNANDEZ,3.0,13.0,0.0,0.0,0.0,8046.0,3,México
14   J. HERNANDEZ,3.0,13.0,0.0,0.0,0.0,8046.0,3,México
14   J. HERNANDEZ,3.0,13.0,0.0,0.0,0.0,8046.0,3,México
14   K Y HAN,0.0,92.0,14.0,8.0,0.0,27041.0,3,Coreia do Sul
14   K Y HAN,0.0,92.0,14.0,8.0,0.0,27041.0,3,Coreia do Sul
14   K Y HAN,0.0,92.0,14.0,8.0,0.0,27041.0,3,Coreia do Sul
14   KONGOLO,0.0,0.0,0.0,0.0,0.0,573.0,1,Holanda
14   MASCHERANO,2.0,278.0,23.0,6.0,0.0,30014.0,3,Argentina
14   MASCHERANO,2.0,278.0,23.0,6.0,0.0,30014.0,3,Argentina
14   MASCHERANO,2.0,278.0,23.0,6.0,0.0,30014.0,3,Argentina
14   MATUIDI,7.0,164.0,10.0,3.0,0.0,29970.0,3,França
14   MATUIDI,7.0,164.0,10.0,3.0,0.0,29970.0,3,França
14   MATUIDI,7.0,164.0,10.0,3.0,0.0,29970.0,3,França
14   MERTENS,8.0,41.0,6.0,2.0,0.0,19781.0,3,Bélgica
14   MERTENS,8.0,41.0,6.0,2.0,0.0,19781.0,3,Bélgica
14   MERTENS,8.0,41.0,6.0,2.0,0.0,19781.0,3,Bélgica
14   MINDA,0.0,63.0,16.0,5.0,0.0,20577.0,2,Equador
14   MINDA,0.0,63.0,16.0,5.0,0.0,20577.0,2,Equador
14   N. LODEIRO,1.0,57.0,7.0,4.0,0.0,20365.0,3,Uruguai
14   N. LODEIRO,1.0,57.0,7.0,4.0,0.0,20365.0,3,Uruguai
14   N. LODEIRO,1.0,57.0,7.0,4.0,0.0,20365.0,3,Uruguai
14   OBOABONA,0.0,24.0,0.0,0.0,0.0,2628.0,1,Nigéria
14   SALPINGIDIS,2.0,29.0,3.0,4.0,0.0,19021.0,3,Grécia
14   SALPINGIDIS,2.0,29.0,3.0,4.0,0.0,19021.0,3,Grécia
14   SALPINGIDIS,2.0,29.0,3.0,4.0,0.0,19021.0,3,Grécia
14   STOCKER,1.0,9.0,1.0,0.0,0.0,5660.0,1,Suíça
14   SUŠIĆ,1.0,57.0,4.0,4.0,0.0,13495.0,2,Bósnia e Herzegovina
14   SUŠIĆ,1.0,57.0,4.0,4.0,0.0,13495.0,2,Bósnia e Herzegovina
14   TROISI,1.0,20.0,4.0,2.0,0.0,6711.0,2,Austrália
14   TROISI,1.0,20.0,4.0,2.0,0.0,6711.0,2,Austrália
14   V. BEREZUTSKIY,1.0,163.0,19.0,2.0,0.0,31814.0,3,Rússia
14   V. BEREZUTSKIY,1.0,163.0,19.0,2.0,0.0,31814.0,3,Rússia
14   V. BEREZUTSKIY,1.0,163.0,19.0,2.0,0.0,31814.0,3,Rússia
15   A. MEJIA,0.0,39.0,8.0,5.0,0.0,15986.0,4,Colômbia
15   A. MEJIA,0.0,39.0,8.0,5.0,0.0,15986.0,4,Colômbia
15   A. MEJIA,0.0,39.0,8.0,5.0,0.0,15986.0,4,Colômbia
15   A. MEJIA,0.0,39.0,8.0,5.0,0.0,15986.0,4,Colômbia
15   ARROYO,3.0,33.0,4.0,2.0,0.0,12879.0,2,Equador
15   ARROYO,3.0,33.0,4.0,2.0,0.0,12879.0,2,Equador
15   AZEEZ,0.0,40.0,2.0,0.0,0.0,9131.0,1,Nigéria
15   BARZAGLI,1.0,189.0,18.0,2.0,0.0,30109.0,3,Itália
15   BARZAGLI,1.0,189.0,18.0,2.0,0.0,30109.0,3,Itália
15   BARZAGLI,1.0,189.0,18.0,2.0,0.0,30109.0,3,Itália
15   BEAUSEJOUR,1.0,13.0,1.0,0.0,0.0,8117.0,2,Chile
15   BEAUSEJOUR,1.0,13.0,1.0,0.0,0.0,8117.0,2,Chile
15   BECKERMAN,1.0,135.0,14.0,18.0,0.0,33421.0,3,EUA
15   BECKERMAN,1.0,135.0,14.0,18.0,0.0,33421.0,3,EUA
15   BECKERMAN,1.0,135.0,14.0,18.0,0.0,33421.0,3,EUA
15   DIAZ J.,0.0,106.0,12.0,10.0,0.0,30813.0,3,Costa Rica
15   DIAZ J.,0.0,106.0,12.0,10.0,0.0,30813.0,3,Costa Rica
15   DIAZ J.,0.0,106.0,12.0,10.0,0.0,30813.0,3,Costa Rica
15   DZEMAILI,2.0,41.0,1.0,2.0,0.0,5860.0,2,Suíça
15   DZEMAILI,2.0,41.0,1.0,2.0,0.0,5860.0,2,Suíça
15   ESPINOZA,4.0,81.0,12.0,4.0,0.0,25714.0,3,Honduras
15   ESPINOZA,4.0,81.0,12.0,4.0,0.0,25714.0,3,Honduras
15   ESPINOZA,4.0,81.0,12.0,4.0,0.0,25714.0,3,Honduras
15   GRADEL,1.0,15.0,2.0,0.0,0.0,7745.0,1,Costa do Marfim
15   H. MORENO,0.0,120.0,17.0,4.0,0.0,27158.0,3,México
15   H. MORENO,0.0,120.0,17.0,4.0,0.0,27158.0,3,México
15   H. MORENO,0.0,120.0,17.0,4.0,0.0,27158.0,3,México
15   JEDINAK,2.0,125.0,18.0,4.0,0.0,35350.0,3,Austrália
15   JEDINAK,2.0,125.0,18.0,4.0,0.0,35350.0,3,Austrália
15   JEDINAK,2.0,125.0,18.0,4.0,0.0,35350.0,3,Austrália
15   KONNO,1.0,127.0,6.0,2.0,0.0,18600.0,2,Japão
15   KONNO,1.0,127.0,6.0,2.0,0.0,18600.0,2,Japão
15   KUYT,1.0,22.0,5.0,1.0,0.0,9603.0,1,Holanda
15   MONTAZERI,0.0,89.0,19.0,5.0,0.0,30194.0,3,Irã
15   MONTAZERI,0.0,89.0,19.0,5.0,0.0,30194.0,3,Irã
15   MONTAZERI,0.0,89.0,19.0,5.0,0.0,30194.0,3,Irã
15   RAMOS,6.0,174.0,21.0,4.0,0.0,29744.0,3,Espanha
15   RAMOS,6.0,174.0,21.0,4.0,0.0,29744.0,3,Espanha
15   RAMOS,6.0,174.0,21.0,4.0,0.0,29744.0,3,Espanha
15   SAGNA,0.0,50.0,1.0,1.0,0.0,10382.0,1,França
15   SOUDANI,0.0,6.0,3.0,4.0,0.0,9056.0,2,Argélia
15   SOUDANI,0.0,6.0,3.0,4.0,0.0,9056.0,2,Argélia
