codigo,time1,time2,Gols1,Gols2,Ataques1,Ataques2,Chutes a gol - Total1,Chutes a gol - Total2,Passes dentro da área1,Passes dentro da área2,Desarmes1,Desarmes2,Passes completados1,Passes completados2,posse_bola1,posse_bola2,Chutes certos1,Chutes certos2,Chutes bloqueados1,Chutes bloqueados2,Chutes defendidos1,Chutes defendidos2,Chutes para fora1,Chutes para fora2,Chutes na trave1,Chutes na trave2,Jogadas de bola parada1,Jogadas de bola parada2,Cruzamentos1,Cruzamentos2,Escanteios1,Escanteios2,Impedimentos1,Impedimentos2,Defesas1,Defesas2,Bolas recuperadas1,Bolas recuperadas2,Bolas perdidas1,Bolas perdidas2,Carrinhos1,Carrinhos2,Faltas1,Faltas2,Cartões amarelos1,Cartões amarelos2,Cartões vermelhos1,Cartões vermelhos2,Distância corrida - Total1,Distância corrida com bola1,Distância corrida sem bola1,Distância corrida - Total2,Distância corrida com bola2,Distância corrida sem bola2,Passes - Total1,Passes curtos1,Passes médios1,Passes longos1,Passes - Total2,Passes curtos2,Passes médios2,Passes longos2,porc_passes_completos1,porc_passes_completos2,Passes longos,Passes - Total,Passes médios,Passes dentro da área,Gols,Bolas recuperadas,Jogadas de bola parada,Cartões amarelos,Passes completados,Distância corrida - Total,Chutes a gol - Total,Distância corrida com bola,Cartões vermelhos,Chutes para fora,Chutes na trave,Chutes defendidos,Bolas perdidas,Chutes certos,Impedimentos,Escanteios,Desarmes,Cruzamentos,Passes curtos,Ataques,Defesas,Faltas,Chutes bloqueados,Distância corrida sem bola,Carrinhos,Times
300186452,Croácia,México,1,3,41,33,10,12,13,11,8,13,376,299,55,45,5,7,3,3,1,1,5,5,0,1,1,3,27,20,7,9,1,1,1,1,38,35,69,74,0,0,18,12,1,2,1,0,103741,37230,31425,108242,31237,39525,506,117,278,111,434,93,255,86,74,69,197,940,533,24,4,73,4,3,675,211983,22,68467,1,10,1,2,143,12,2,16,21,47,210,74,2,30,6,70950,0,Croácia x México
300186481,Bélgica,Rússia,1,0,46,41,11,13,7,10,13,14,355,329,53,47,7,6,5,3,1,3,4,7,1,0,1,3,18,24,5,8,7,0,3,1,36,46,82,85,0,0,14,9,2,1,0,0,108161,37800,37682,117713,39704,43198,500,117,277,106,470,110,281,79,71,70,185,970,558,17,1,82,4,3,684,225874,24,77504,0,11,1,4,167,13,7,13,27,42,227,87,4,23,8,80880,0,Bélgica x Rússia
300186495,Coreia do Sul,Argélia,2,4,45,34,9,15,15,9,18,29,356,331,53,47,6,8,2,3,2,1,3,7,0,0,3,5,27,19,7,5,1,1,1,2,44,34,76,84,0,0,13,16,2,1,0,0,112907,39256,37646,113826,37107,40651,491,104,300,87,458,116,256,86,73,72,173,949,556,24,6,78,8,3,687,226733,24,76363,0,10,0,3,160,14,2,12,47,46,220,79,3,29,5,78297,0,Coreia do Sul x Argélia
300186483,EUA,Portugal,2,2,33,47,15,20,2,8,12,9,453,488,48,52,10,9,6,3,2,4,5,11,0,1,1,2,15,22,6,4,1,4,4,2,43,49,76,76,0,0,11,14,1,0,0,0,110299,38668,42542,106520,39717,38474,553,161,328,64,582,146,377,59,82,84,123,1135,705,10,4,92,3,1,941,216819,35,78385,0,16,1,6,152,19,5,10,21,37,307,80,6,25,9,81016,0,EUA x Portugal
300186465,Itália,Uruguai,0,1,36,37,9,14,6,8,11,11,452,323,55,45,5,9,4,4,1,4,4,5,0,0,2,2,19,23,3,3,3,1,4,1,47,51,89,79,0,0,19,20,2,2,1,0,106397,38775,32259,104314,30690,38860,568,156,347,65,446,100,266,80,80,72,145,1014,613,14,1,98,4,4,775,210711,23,69465,1,9,0,5,168,14,4,6,22,42,256,73,5,39,8,71119,0,Itália x Uruguai
300186484,Costa Rica,Inglaterra,0,0,15,32,4,8,4,8,6,4,333,404,47,53,3,3,1,2,2,1,1,5,0,0,1,1,8,16,3,7,3,1,1,2,54,55,85,91,0,0,17,17,1,2,0,0,108978,34502,42674,107481,40250,35192,468,118,256,94,552,129,319,104,71,73,198,1020,575,12,0,109,2,3,737,216459,12,74752,0,6,0,3,176,6,4,10,10,24,247,47,3,34,3,77866,0,Costa Rica x Inglaterra
300186457,Japão,Colômbia,1,4,52,26,23,13,13,8,5,7,379,263,55,45,13,9,6,5,6,0,10,4,0,0,4,1,12,7,9,2,0,2,0,6,41,42,72,78,0,0,10,19,1,1,0,0,107219,42706,36838,104813,35769,41175,517,132,306,79,401,100,221,80,74,66,159,918,527,21,5,83,5,2,642,212032,36,78475,0,14,0,6,150,22,2,11,12,19,232,78,6,29,11,78013,0,Japão x Colômbia
300186455,Grécia,Costa do Marfim,2,1,35,39,13,13,2,7,15,18,265,382,46,54,5,9,1,5,2,3,8,4,3,0,4,1,23,17,4,7,1,1,3,2,36,25,62,61,0,0,13,23,0,3,0,0,103758,30792,37613,95445,33356,29821,351,84,197,70,478,114,309,55,75,80,125,829,506,9,3,61,5,3,647,199203,26,64148,0,12,3,5,123,14,2,11,33,40,198,74,5,36,6,67434,0,Grécia x Costa do Marfim
300186456,Brasil,Croácia,3,1,48,38,14,10,10,5,7,13,433,284,58,42,9,4,3,1,3,3,5,6,0,0,3,0,20,14,7,3,1,0,3,3,40,41,85,84,0,0,5,21,2,2,0,0,102099,40574,31488,109171,32446,45839,566,158,326,82,410,113,235,62,77,69,144,976,561,15,4,81,3,4,717,211270,24,73020,0,11,0,6,169,13,1,10,20,34,271,86,6,26,4,77327,0,Brasil x Croácia
300186492,México,Camarões,1,0,41,36,9,10,9,7,10,11,484,284,58,42,5,4,1,3,3,1,4,6,0,1,0,1,17,20,2,5,5,3,1,3,35,38,72,74,0,0,11,12,1,1,0,0,104443,38445,30051,100072,27968,38940,598,144,378,76,391,96,239,56,81,73,132,989,617,16,1,73,1,2,768,204515,19,66413,0,10,1,4,146,9,8,7,21,37,240,77,4,23,4,68991,0,México x Camarões
300186510,Espanha,Holanda,1,5,40,33,9,13,7,9,6,5,566,318,57,43,6,11,2,1,3,5,3,2,0,2,2,1,8,8,4,1,5,5,5,3,30,43,70,59,0,0,5,18,1,3,0,0,102044,40005,34612,109387,36951,43758,680,232,390,58,425,91,239,95,83,75,153,1105,629,16,6,73,3,4,884,211431,22,76956,0,5,2,8,129,17,10,5,11,16,323,73,8,23,3,78370,0,Espanha x Holanda
300186473,Chile,Austrália,3,1,41,33,11,13,13,7,10,12,615,324,62,38,9,6,4,2,2,3,2,7,0,0,0,0,15,18,3,1,1,1,3,2,40,44,77,78,0,0,9,18,1,3,0,0,113557,51005,33263,115898,32611,54839,729,153,463,113,434,95,268,71,84,75,184,1163,731,20,4,84,0,4,939,229455,24,83616,0,9,0,5,155,15,2,4,22,33,248,74,5,27,6,88102,0,Chile x Austrália
300186471,Colômbia,Grécia,3,0,42,47,12,12,14,5,13,7,328,377,46,54,8,7,2,2,3,4,4,5,0,1,1,2,8,23,4,4,1,3,4,3,30,33,65,66,0,0,19,14,1,2,0,0,107622,36949,41136,104859,39894,36415,430,111,253,66,501,120,298,83,76,75,149,931,551,19,3,63,3,3,705,212481,24,76843,0,9,1,7,131,15,4,8,20,31,231,89,7,33,4,77551,0,Colômbia x Grécia
300186489,Uruguai,Costa Rica,1,3,34,23,9,12,4,4,6,12,387,313,54,46,5,4,2,0,2,1,4,8,0,0,2,5,15,17,5,6,6,2,1,2,40,33,72,79,0,0,20,18,3,0,1,0,104265,32426,30926,108611,31902,34334,513,115,322,76,443,116,259,68,75,71,144,956,581,8,4,73,7,3,700,212876,21,64328,1,12,0,3,151,9,8,11,18,32,231,57,3,38,2,65260,0,Uruguai x Costa Rica
300186513,Inglaterra,Itália,1,2,60,31,18,12,8,7,4,10,467,606,48,52,8,5,3,2,4,1,10,7,0,2,2,1,25,9,9,2,0,7,1,4,31,27,53,60,0,0,8,12,1,0,0,0,107259,40398,45946,110467,45984,43797,544,133,340,71,679,207,412,60,86,89,131,1223,752,15,3,58,3,1,1073,217726,30,86382,0,17,2,5,113,13,7,11,14,34,340,91,5,20,5,89743,0,Inglaterra x Itália
300186507,Costa do Marfim,Japão,2,1,40,27,19,7,11,4,20,7,456,324,58,42,9,4,3,1,4,2,10,3,0,0,3,0,19,13,8,5,3,1,2,4,44,41,75,79,0,0,12,13,2,2,0,0,97234,39687,31281,108258,33795,46258,570,120,375,75,454,153,230,71,80,71,146,1024,605,15,3,85,3,4,780,205492,26,73482,0,13,0,6,154,13,4,13,27,32,273,67,6,25,4,77539,0,Costa do Marfim x Japão
300186494,Suíça,Equador,2,1,44,33,18,10,9,6,11,13,468,266,56,44,12,6,5,2,5,3,6,4,0,0,3,2,22,18,8,5,1,4,3,5,30,33,73,67,0,0,9,15,1,1,0,0,113635,45039,36519,98921,29599,40463,583,156,360,67,376,86,206,84,80,71,151,959,566,15,3,63,5,2,734,212556,28,74638,0,10,0,8,140,18,5,13,24,40,242,77,8,24,7,76982,0,Suíça x Equador
300186496,França,Honduras,3,0,55,9,20,4,19,0,3,13,624,251,63,37,10,2,6,1,2,1,10,2,3,0,4,0,32,6,8,0,1,2,1,2,34,32,59,64,0,0,13,14,3,4,0,0,108186,49894,29487,98778,25462,47578,717,210,431,76,347,98,181,68,87,72,144,1064,612,19,3,66,4,7,875,206964,24,75356,0,12,3,3,123,12,3,8,16,38,308,64,3,27,7,77065,0,França x Honduras
300186477,Argentina,Bósnia e Herzegovina,2,1,42,41,11,16,12,6,12,8,536,392,56,44,5,11,1,5,3,5,6,5,0,0,1,4,11,24,2,6,0,3,5,3,42,46,82,74,0,0,10,14,1,1,0,0,105439,42552,38254,115493,40022,49127,637,158,415,64,498,122,303,73,84,79,137,1135,718,18,3,88,5,2,928,220932,27,82574,0,11,0,8,156,16,3,8,20,35,280,83,8,24,6,87381,0,Argentina x Bósnia e Herzegovina
300186475,Alemanha,Portugal,4,0,42,36,13,14,9,6,11,8,483,391,54,46,9,9,2,5,2,4,4,5,0,0,3,4,17,21,4,6,2,1,4,2,48,38,72,76,0,0,8,11,0,1,0,1,111658,42730,39840,101874,34402,41546,588,138,361,89,491,113,307,71,82,80,160,1079,668,15,4,86,7,1,874,213532,27,77132,1,9,0,6,148,18,3,10,19,38,251,78,6,19,7,81386,0,Alemanha x Portugal
300186505,Irã,Nigéria,0,0,22,46,7,10,10,7,28,9,192,464,37,63,3,6,2,2,1,4,4,4,0,0,1,2,15,34,2,7,1,0,4,1,45,37,75,78,0,0,18,16,1,0,0,0,108295,27495,46093,100111,40977,27246,309,76,163,70,602,118,406,78,62,77,148,911,569,17,0,82,3,1,656,208406,17,68472,0,8,0,5,153,9,1,9,37,49,194,68,5,34,4,73339,0,Irã x Nigéria
300186512,Gana,EUA,1,2,65,22,21,8,13,6,3,9,445,281,59,41,8,7,4,1,3,4,13,1,0,0,5,2,24,7,7,3,5,1,4,3,44,31,79,89,0,0,10,12,2,0,0,0,110580,42252,30463,116984,31306,46079,588,141,352,95,429,100,253,76,76,66,171,1017,605,19,3,75,7,2,726,227564,29,73558,0,14,0,7,168,15,6,10,12,31,241,87,7,22,5,76542,0,Gana x EUA
300186479,Bélgica,Argélia,2,1,49,7,16,3,6,1,14,19,547,206,65,35,10,1,2,0,6,0,6,2,0,0,2,1,24,9,7,2,3,0,0,6,39,36,71,70,0,0,20,18,1,1,0,0,109967,49574,28908,113474,28409,52855,665,135,446,84,336,82,182,72,82,61,156,1001,628,7,3,75,3,2,753,223441,19,77983,0,8,0,6,141,11,3,9,33,33,217,56,6,38,2,81763,0,Bélgica x Argélia
300186509,Brasil,México,0,0,38,33,14,13,11,5,14,20,352,299,54,46,8,3,2,1,6,2,6,10,0,0,4,1,28,14,4,3,5,0,2,6,36,51,77,68,0,0,13,18,2,2,0,0,97356,35185,34203,100240,33681,37567,476,125,270,81,404,112,224,68,74,74,149,880,494,16,0,87,5,4,651,197596,27,68866,0,16,0,8,145,11,5,7,34,42,237,71,8,31,3,71770,0,Brasil x México
300186499,Rússia,Coreia do Sul,1,1,47,35,16,10,15,4,9,17,408,426,48,52,10,6,5,1,4,4,6,4,0,0,2,3,28,12,4,4,0,0,4,4,46,51,86,83,0,0,15,7,1,3,0,0,113814,40538,43968,108136,39681,39592,542,125,349,68,550,143,316,91,75,77,159,1092,665,19,2,97,5,4,834,221950,26,80219,0,10,0,8,169,16,0,8,26,40,268,82,8,22,6,83560,0,Rússia x Coreia do Sul
300186478,Austrália,Holanda,2,3,39,31,10,15,7,8,13,18,376,384,48,52,8,14,3,4,2,7,2,1,0,0,3,2,17,10,3,2,1,1,7,2,34,39,71,67,0,0,18,25,1,1,0,0,120561,40647,47533,115082,44462,39955,500,100,319,81,496,104,292,100,75,77,181,996,611,15,5,73,5,2,760,235643,25,85109,0,3,0,9,138,22,2,5,31,27,204,70,9,43,7,87488,0,Austrália x Holanda
300186498,Espanha,Chile,0,2,46,22,15,7,14,2,9,20,579,332,56,44,9,4,3,0,6,2,6,3,0,0,2,1,24,7,7,1,1,2,2,6,50,62,100,99,0,0,14,15,1,2,0,0,109266,49159,32392,117598,33439,53670,705,246,381,78,464,131,255,78,82,72,156,1169,636,16,2,112,3,3,911,226864,22,82598,0,9,0,8,199,13,3,8,29,31,377,68,8,29,3,86062,0,Espanha x Chile
300186453,Camarões,Croácia,0,4,36,44,18,21,7,12,23,14,273,361,49,51,7,14,6,4,1,6,11,7,1,0,0,4,16,27,4,7,0,4,6,1,29,28,74,61,0,0,11,9,0,1,1,0,92577,26663,33662,101464,34801,30251,384,88,239,57,466,94,289,83,71,77,140,850,528,19,4,57,4,1,634,194041,39,61464,1,18,1,7,135,21,4,11,37,43,182,80,7,20,10,63913,0,Camarões x Croácia
300186468,Colômbia,Costa do Marfim,2,1,26,54,11,15,8,6,15,13,292,377,45,55,8,12,2,7,4,4,3,3,0,0,1,3,14,26,5,5,3,2,4,4,33,38,72,66,0,0,11,14,0,2,0,0,102070,32053,38865,94697,35346,30497,407,106,245,56,484,116,292,76,72,78,132,891,537,14,3,71,4,2,669,196767,26,67399,0,6,0,8,138,20,5,10,28,40,222,80,8,25,9,69362,0,Colômbia x Costa do Marfim
300186486,Uruguai,Inglaterra,2,1,31,46,10,13,8,9,31,31,185,415,38,62,6,8,1,2,2,5,4,5,0,1,4,2,20,29,7,6,3,1,5,3,30,26,75,68,0,0,17,12,1,1,0,0,105359,26601,43009,104225,41695,26928,320,80,182,58,548,162,304,82,58,76,140,868,486,17,3,56,6,2,600,209584,23,68296,0,9,1,7,143,14,4,13,62,49,242,77,8,29,3,69937,0,Uruguai x Inglaterra
300186454,Japão,Grécia,0,0,62,25,16,9,12,5,10,21,570,144,68,32,11,5,6,1,5,4,5,4,0,0,4,3,33,20,5,7,1,3,4,5,24,40,67,53,0,0,23,18,1,4,0,0,102032,42762,23388,95563,20887,40497,662,141,461,60,243,59,122,62,86,59,122,905,583,17,0,64,7,5,714,197595,25,63649,0,9,0,9,120,16,4,12,31,53,200,87,9,41,7,63885,0,Japão x Grécia
300186500,Itália,Costa Rica,0,1,33,31,10,10,6,7,12,16,522,304,58,42,6,6,2,1,4,4,4,4,0,0,2,1,8,11,4,5,11,3,4,4,39,51,81,58,0,0,10,24,1,1,0,0,104475,41963,32288,107107,30799,45021,612,131,415,66,406,110,219,77,85,75,143,1018,634,13,1,90,3,2,826,211582,20,72762,0,8,0,8,139,12,14,9,28,19,241,64,8,34,3,77309,0,Itália x Costa Rica
300186514,Suíça,França,2,5,40,32,17,22,9,11,9,6,469,335,57,43,8,16,3,3,3,8,9,6,0,1,3,2,9,16,5,3,1,2,8,3,42,40,77,71,0,0,12,16,0,1,0,0,106174,42110,34201,105649,33077,42587,577,143,380,54,443,136,246,61,81,76,115,1020,626,20,7,82,5,1,804,211823,39,75187,0,15,1,11,148,24,3,8,15,25,279,72,11,28,6,76788,0,Suíça x França
300186515,Equador,França,0,0,21,64,11,20,2,14,13,5,227,483,40,60,7,13,5,4,2,9,4,7,0,0,1,1,3,29,1,7,1,1,9,2,45,43,76,83,0,0,17,6,1,0,1,0,102299,29503,43668,110980,45559,34094,354,74,206,74,610,128,406,76,64,79,150,964,612,16,0,88,2,1,710,213279,31,75062,1,11,0,11,159,20,2,8,18,32,202,85,11,23,9,77762,0,Equador x França
300186476,Portugal,Gana,2,1,45,41,19,18,8,10,3,8,394,264,55,45,10,6,3,2,6,3,9,12,1,0,2,2,25,21,7,3,0,4,3,6,43,46,101,85,0,0,21,16,1,3,0,0,114668,42767,38520,111502,36006,43643,568,131,323,114,424,100,243,81,74,67,195,992,566,18,3,89,4,4,658,226170,37,78773,0,21,1,9,186,16,4,10,11,46,231,86,9,37,5,82163,0,Portugal x Gana
300186469,EUA,Alemanha,0,1,17,53,4,13,2,13,18,10,356,724,37,63,1,9,1,3,0,5,3,4,0,0,0,0,7,27,2,3,2,7,5,0,31,41,63,68,0,0,15,9,2,1,0,0,114552,31436,55762,112797,51550,33722,458,131,261,66,819,207,545,67,79,89,133,1277,806,15,1,72,0,3,1080,227349,17,82986,0,7,0,5,131,10,9,5,28,34,338,70,5,24,4,89484,0,EUA x Alemanha
300186480,Coreia do Sul,Bélgica,0,1,48,41,18,16,14,6,3,4,368,285,50,50,12,11,6,3,6,7,6,5,0,0,2,5,13,12,6,4,1,4,7,6,37,37,84,68,0,0,16,11,1,1,0,1,111974,39981,37434,104704,34350,38600,501,125,283,93,421,119,233,69,73,68,162,922,516,20,1,74,7,2,653,216678,34,74331,1,11,0,13,152,23,5,10,7,25,244,89,13,27,9,76034,0,Coreia do Sul x Bélgica
300186506,Argélia,Rússia,1,1,37,46,8,10,7,9,15,9,322,440,47,53,6,7,0,2,5,4,2,3,0,0,3,0,18,22,3,4,2,3,4,5,48,39,83,74,0,0,15,14,3,2,0,0,110189,36877,45796,115928,47215,40178,465,104,277,84,588,158,353,77,69,75,161,1053,630,16,2,87,3,5,762,226117,18,84092,0,5,0,9,157,13,5,7,24,40,262,83,9,29,2,85974,0,Argélia x Rússia
300186508,Holanda,México,2,1,48,29,14,12,10,3,10,25,461,311,55,45,8,7,4,1,2,5,6,5,0,0,4,1,29,9,10,2,1,1,5,2,45,37,68,89,0,0,8,12,0,3,0,0,112565,43104,36375,112382,33810,44327,575,95,373,107,424,94,266,64,80,73,171,999,639,13,3,82,5,3,772,224947,26,76914,0,11,0,7,157,15,2,12,35,38,189,77,7,20,5,80702,0,Holanda x México
300186459,Costa Rica,Grécia,1,1,28,60,6,24,8,16,23,11,334,502,43,57,2,13,1,5,0,7,4,11,0,0,0,5,17,52,3,11,1,10,7,0,43,40,82,87,0,0,22,16,6,2,0,0,131326,35392,51638,132498,49016,36853,467,108,267,92,624,139,377,108,72,80,200,1091,644,24,2,83,5,8,836,263824,30,84408,0,15,0,7,169,15,11,14,34,69,247,88,7,38,6,88491,0,Costa Rica x Grécia
300186462,França,Nigéria,2,0,40,35,15,8,19,6,20,21,333,304,49,51,9,6,4,4,4,2,6,2,1,0,4,1,34,30,12,9,3,2,2,4,41,40,75,77,0,0,12,15,1,0,0,0,103064,32221,37558,96406,33953,31415,448,114,266,68,421,86,253,82,76,75,150,869,519,25,2,81,5,1,637,199470,23,66174,0,8,1,6,152,15,5,21,41,64,200,75,6,27,8,68973,0,França x Nigéria
300186491,Colômbia,Uruguai,2,0,23,36,10,16,3,13,12,10,339,329,54,46,8,9,3,4,3,5,2,7,0,0,5,7,16,18,3,5,1,1,5,3,37,41,83,72,0,0,19,17,1,2,0,0,103491,34790,28667,105527,29960,36128,462,121,259,82,437,98,270,69,73,75,151,899,529,16,2,78,12,3,668,209018,26,64750,0,9,0,8,155,17,2,8,22,34,219,59,8,36,7,64795,0,Colômbia x Uruguai
300186487,Brasil,Chile,1,1,63,52,23,13,14,7,23,33,393,424,49,51,13,5,6,3,6,1,10,8,0,1,4,3,39,23,9,5,2,3,1,6,66,63,116,113,0,0,28,23,4,3,0,0,136334,43392,48618,145848,50832,46388,574,147,332,95,593,115,357,121,68,72,216,1167,689,21,2,129,7,7,817,282182,36,94224,0,18,1,7,229,18,5,14,56,62,262,115,7,51,9,95006,0,Brasil x Chile
300186460,Alemanha,Argélia,2,1,50,25,29,11,16,2,21,19,768,335,63,37,22,7,9,2,11,4,7,4,0,0,0,2,30,21,10,4,4,4,4,11,68,65,120,115,0,0,11,20,1,1,0,0,127420,53731,32123,124537,30490,54052,940,221,631,88,504,144,261,99,82,66,187,1444,892,18,3,133,2,2,1103,251957,40,84221,0,11,0,15,235,29,8,14,40,51,365,75,15,31,11,86175,0,Alemanha x Argélia
300186503,Argentina,Suíça,1,0,77,34,29,14,18,5,7,41,548,304,62,38,22,7,13,3,8,4,7,7,0,1,4,2,56,15,13,5,0,1,4,8,65,67,113,124,0,0,19,28,3,2,0,0,135275,55972,37939,147214,39003,63541,714,132,472,110,438,150,231,57,77,69,167,1152,703,23,1,132,6,5,852,282489,43,94975,0,14,1,12,237,29,1,18,48,71,282,111,12,47,16,101480,0,Argentina x Suíça
300186497,Bélgica,EUA,2,1,83,56,38,15,20,14,13,27,436,549,47,53,27,9,9,4,16,4,11,6,1,0,1,0,45,31,19,4,2,0,4,16,64,42,87,124,0,0,27,11,1,1,0,0,147266,49986,54958,154951,56399,53889,595,148,357,90,726,194,442,90,74,77,180,1321,799,34,3,106,1,2,985,302217,53,106385,0,17,1,20,211,36,2,23,40,76,342,139,20,38,13,108847,0,Bélgica x EUA
300186485,França,Alemanha,0,1,31,25,13,8,8,5,9,14,323,331,49,51,9,6,4,3,5,2,4,2,0,0,0,0,22,12,5,3,3,0,2,5,39,41,85,78,0,0,15,18,0,2,0,0,100536,34770,35933,107696,37596,39360,433,102,258,73,439,103,273,63,75,75,136,872,531,13,1,80,0,2,654,208232,21,72366,0,6,0,7,163,15,3,8,23,34,205,56,7,33,7,75293,0,França x Alemanha
