nome,adversario,Altura,Cartões Amarelos,Assistências,Assistências - Média,Bloqueios,Bloqueios - Média,Carrinhos,Carrinhos - Média,Chutes Certos,Chutes Certos - Média,Chutes ao gol,Chutes ao gol - Média,Cruzamentos,Cruzamentos - Média,Faltas Cometidas,Faltas Cometidas - Média,Faltas Sofridas,Faltas Sofridas - Média,Gols,Gols - Média,Impedimentos,Impedimentos - Média,Jogos,Passes,Passes - Média,Peso,posicao,Roubadas,Roubadas - Média,time,Cartões Vermelhos,Chutes convertidos em gols (%),Acerto de chutes (%),Idade
Leighton Baines,Todos,1.72,0.0,0,0.0,1,0.5,3,1.5,1,0.5,1,0.5,5,2.5,2,1.0,1,0.5,0,0.0,0,0.0,2.0,103,51.5,75,Zagueiro,15,7.5,Inglaterra,0.0,0.0,1.0,29
Johan Djourou,Todos,1.92,1.0,0,0.0,9,2.2,9,2.2,0,0.0,0,0.0,0,0.0,5,1.2,3,0.8,0,0.0,0,0.0,4.0,148,37.0,87,Zagueiro,36,9.0,Suíça,0.0,inf,inf,27
Gary Cahill,Todos,1.91,0.0,0,0.0,2,0.7,4,1.3,0,0.0,0,0.0,0,0.0,3,1.0,4,1.3,0,0.0,0,0.0,3.0,139,46.3,71,Zagueiro,45,15.0,Inglaterra,0.0,inf,inf,28
Phil Jagielka,Todos,1.83,0.0,0,0.0,2,1.0,1,0.5,0,0.0,1,0.5,1,0.5,1,0.5,1,0.5,0,0.0,0,0.0,2.0,92,46.0,83,Zagueiro,13,6.5,Inglaterra,0.0,0.0,0.0,31
Joe Hart,Todos,1.91,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0,0.0,80,Goleiro,0,0.0,Inglaterra,0.0,inf,inf,27
Tim Krul,Todos,1.93,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,84,Goleiro,0,0.0,Holanda,0.0,inf,inf,26
Cristian Zapata,Todos,1.87,0.0,0,0.0,5,1.7,3,1.0,0,0.0,1,0.3,0,0.0,1,0.3,1,0.3,0,0.0,0,0.0,3.0,116,38.7,82,Zagueiro,17,5.7,Colômbia,0.0,0.0,0.0,27
Valon Behrami,Todos,1.84,0.0,0,0.0,4,1.0,5,1.2,1,0.2,1,0.2,0,0.0,8,2.0,6,1.5,0,0.0,0,0.0,4.0,138,34.5,78,Meio Campo,28,7.0,Suíça,0.0,0.0,1.0,29
Andrea Pirlo,Todos,1.77,0.0,0,0.0,1,0.3,2,0.7,2,0.7,5,1.7,3,1.0,2,0.7,10,3.3,0,0.0,0,0.0,3.0,249,83.0,68,Meio Campo,8,2.7,Itália,0.0,0.0,0.4,35
Mark Bresciano,Todos,1.82,0.0,0,0.0,0,0.0,2,0.7,3,1.0,5,1.7,3,1.0,4,1.3,2,0.7,0,0.0,0,0.0,3.0,71,23.7,75,Meio Campo,4,1.3,Austrália,0.0,0.0,0.6,34
Sulley Muntari,Todos,1.79,2.0,1,0.5,0,0.0,6,3.0,1,0.5,5,2.5,7,3.5,5,2.5,6,3.0,0,0.0,0,0.0,2.0,88,44.0,76,Meio Campo,14,7.0,Gana,0.0,0.0,0.2,29
Maxwell,Todos,1.77,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,73,Zagueiro,0,0.0,Brasil,0.0,inf,inf,32
Daniele De Rossi,Todos,1.82,0.0,0,0.0,0,0.0,6,3.0,0,0.0,0,0.0,0,0.0,3,1.5,2,1.0,0,0.0,0,0.0,2.0,202,101.0,83,Meio Campo,9,4.5,Itália,0.0,inf,inf,30
Maicon,Todos,1.86,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,77,Zagueiro,0,0.0,Brasil,0.0,inf,inf,32
Júlio César,Todos,1.78,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3.0,0,0.0,79,Goleiro,0,0.0,Brasil,0.0,inf,inf,34
Andrea Barzagli,Todos,1.86,0.0,0,0.0,2,0.7,3,1.0,1,0.3,1,0.3,0,0.0,3,1.0,1,0.3,0,0.0,0,0.0,3.0,189,63.0,79,Zagueiro,18,6.0,Itália,0.0,0.0,1.0,33
Alberto Aquilani,Todos,1.84,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,77,Meio Campo,0,0.0,Itália,0.0,inf,inf,29
Salvatore Sirigu,Todos,1.90,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,80,Goleiro,0,0.0,Itália,0.0,inf,inf,27
Asamoah Gyan,Todos,1.86,0.0,1,0.3,1,0.3,1,0.3,7,2.3,18,6.0,9,3.0,3,1.0,8,2.7,2,0.7,5,1.7,3.0,36,12.0,77,Atacante,2,0.7,Gana,0.0,0.1111111111111111,0.3888888888888889,28
Bryan Ruiz,Todos,1.87,1.0,0,0.0,2,0.5,2,0.5,3,0.8,5,1.2,2,0.5,12,3.0,7,1.8,2,0.5,0,0.0,4.0,124,31.0,79,Atacante,19,4.8,Costa Rica,0.0,0.4,0.6,28
Sammy Bossut,Todos,1.87,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,74,Goleiro,0,0.0,Bélgica,0.0,inf,inf,28
Boubacar Barry,Todos,1.80,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0,0.0,69,Goleiro,0,0.0,C. Marfim,0.0,inf,inf,34
Nicolas Lombaerts,Todos,1.88,0.0,0,0.0,1,1.0,1,1.0,0,0.0,0,0.0,0,0.0,2,2.0,0,0.0,0,0.0,0,0.0,1.0,30,30.0,83,Zagueiro,5,5.0,Bélgica,0.0,inf,inf,29
Lucas Biglia,Todos,1.75,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4.0,17,4.2,74,Meio Campo,3,0.8,Argentina,0.0,inf,inf,28
Anthony Vanden Borre,Todos,1.85,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0,0.0,0,0.0,1.0,40,40.0,89,Zagueiro,3,3.0,Bélgica,0.0,inf,inf,26
Cheick Tioté,Todos,1.75,1.0,0,0.0,3,1.0,7,2.3,2,0.7,3,1.0,1,0.3,5,1.7,3,1.0,0,0.0,0,0.0,3.0,148,49.3,86,Meio Campo,22,7.3,C. Marfim,0.0,0.0,0.6666666666666666,28
Marouane Fellaini,Todos,1.94,0.0,0,0.0,0,0.0,3,0.8,2,0.5,6,1.5,1,0.2,14,3.5,3,0.8,1,0.2,4,1.0,4.0,105,26.2,85,Meio Campo,20,5.0,Bélgica,0.0,0.16666666666666666,0.3333333333333333,26
Steven Defour,Todos,1.73,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,2,2.0,1,1.0,0,0.0,0,0.0,1.0,23,23.0,70,Meio Campo,8,8.0,Bélgica,0.0,inf,inf,26
Axel Witsel,Todos,1.83,1.0,0,0.0,0,0.0,5,1.7,4,1.3,7,2.3,0,0.0,3,1.0,9,3.0,0,0.0,0,0.0,3.0,150,50.0,76,Meio Campo,30,10.0,Bélgica,0.0,0.0,0.5714285714285714,25
Laurent Ciman,Todos,1.80,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,70,Zagueiro,0,0.0,Bélgica,0.0,inf,inf,28
Dante,Todos,1.89,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,87,Zagueiro,0,0.0,Brasil,0.0,inf,inf,30
Simon Mignolet,Todos,1.93,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,87,Goleiro,0,0.0,Bélgica,0.0,inf,inf,26
Fredy Guarín,Todos,1.87,1.0,0,0.0,0,0.0,3,1.5,0,0.0,0,0.0,1,0.5,4,2.0,1,0.5,0,0.0,0,0.0,2.0,25,12.5,77,Meio Campo,3,1.5,Colômbia,0.0,inf,inf,28
Yaya Touré,Todos,1.89,0.0,0,0.0,0,0.0,2,0.7,6,2.0,9,3.0,7,2.3,1,0.3,4,1.3,0,0.0,0,0.0,3.0,137,45.7,90,Meio Campo,11,3.7,C. Marfim,0.0,0.0,0.6666666666666666,31
Mario Yepes,Todos,1.86,0.0,0,0.0,6,2.0,4,1.3,1,0.3,2,0.7,0,0.0,1,0.3,2,0.7,0,0.0,2,0.7,3.0,80,26.7,83,Zagueiro,20,6.7,Colômbia,0.0,0.0,0.5,38
Diego Pérez,Todos,1.76,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,81,Meio Campo,0,0.0,Uruguai,0.0,inf,inf,34
Charles Itandje,Todos,1.85,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2.0,0,0.0,83,Goleiro,0,0.0,Camarões,0.0,inf,inf,31
Mickael Landreau,Todos,1.84,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,85,Goleiro,0,0.0,França,0.0,inf,inf,35
Jean Makoun,Todos,1.70,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,2.0,0,0.0,0,0.0,1.0,6,6.0,65,Meio Campo,0,0.0,Camarões,0.0,inf,inf,31
