time,Gols,Ataques,Desarmes,Passes completados,Posse de bola,Chutes certos,Chutes para fora,Jogadas de bola parada,Cruzamentos,Escanteios,Impedimentos,Defesas,Bolas recuperadas,Bolas perdidas,Faltas cometidas,Cartões amarelos,Cartões vermelhos,Distância corrida com bola,Distância corrida sem bola,Passes curtos,Passes médios,Passes longos,Porcentagem de passes completos,Gols Sofridos,Pontos,Saldo de Gols,Mordidas,Ranking,Chutes por 100 min,Chutes certos por 100 min,Gols por 100 min,Ataques por 100 min,Minutos para cada gol
Suíça,7.0,36.8,19.0,380.2,47.8,10.0,6.2,2.2,13.8,4.8,1.2,5.5,44.2,86.8,16.8,0.8,0.0,39664.5,44847.5,140.2,295.2,59.2,75.8,7.0,6.0,0.0,0,11,8.690054715159318,5.3642313056539,3.75496191395773,19.74037120480635,26.631428571428568
Uruguai,4.0,34.5,14.5,306.0,45.8,7.2,5.0,3.8,19.0,5.0,2.8,2.5,40.5,74.5,18.5,2.0,0.2,29919.2,37230.8,98.2,260.0,70.8,70.0,6.0,6.0,-2.0,1,12,7.399320718098011,4.366812227074236,2.42600679281902,20.924308588064047,41.22
Grécia,3.0,41.8,13.5,322.0,47.2,7.5,7.0,3.5,29.5,6.5,4.2,2.8,37.2,67.0,15.2,2.0,0.0,35147.2,37844.5,100.5,248.5,80.8,72.2,5.0,5.0,-2.0,0,13,7.877009995654063,4.074315514993481,1.6297262059973923,22.707518470230333,61.36000000000001
Argélia,7.0,25.8,20.5,298.5,41.5,5.5,3.8,2.8,16.8,3.5,1.8,5.8,45.8,88.0,17.2,1.5,0.0,33220.8,48338.5,111.5,244.0,85.2,67.0,7.0,4.0,0.0,0,14,5.746061167747915,3.398208217485326,4.324992276799506,15.940685820203893,23.12142857142857
Equador,3.0,34.3,11.7,265.3,45.0,6.0,3.7,2.0,15.0,6.0,2.0,6.0,42.3,75.0,16.3,1.7,0.3,30650.7,38409.7,89.0,223.3,77.3,68.0,3.0,4.0,0.0,0,15,7.9835390946502045,4.938271604938271,2.4691358024691357,28.230452674897116,40.5
EUA,5.0,32.0,16.5,409.8,44.8,6.8,3.8,0.8,15.0,3.8,1.0,7.0,36.8,88.0,12.2,1.0,0.0,39452.2,49568.0,146.5,321.0,74.0,76.0,6.0,4.0,-1.0,0,16,6.066849816849817,3.891941391941392,2.8617216117216118,18.315018315018314,34.944
Nigéria,3.0,38.5,17.2,339.8,50.8,8.0,4.5,1.2,21.5,5.8,1.5,5.2,42.0,76.8,14.2,0.8,0.0,35683.2,36673.8,100.5,288.2,81.0,73.5,5.0,4.0,-2.0,0,17,6.835083114610674,4.374453193350831,1.6404199475065617,21.052055993000874,60.96
Portugal,4.0,42.7,6.7,424.3,51.0,9.3,8.3,2.7,22.7,5.7,1.7,2.3,43.3,84.3,15.3,0.7,0.3,38962.0,39513.3,130.0,335.7,81.3,79.3,7.0,4.0,-3.0,0,18,12.781408859840235,6.753812636165579,2.9048656499636896,31.009440813362385,34.425
Croácia,6.0,41.0,11.7,340.3,49.3,7.7,6.0,1.7,22.7,5.7,1.7,1.7,35.7,71.3,16.0,1.3,0.3,34825.7,35838.3,108.0,267.3,85.3,73.3,6.0,3.0,0.0,0,19,10.292239501164449,5.78468935466907,4.5075501464953796,30.801592667718424,22.185000000000002
Bósnia e Herzegovina,4.0,44.0,13.0,470.7,53.3,10.0,5.7,2.3,24.0,5.3,2.0,4.3,45.0,78.7,13.7,1.0,0.0,45009.3,39536.3,143.3,371.7,73.7,80.0,4.0,3.0,0.0,0,20,10.909596275449934,6.948787436592315,2.779514974636926,30.574664721006187,35.9775
Costa do Marfim,4.0,44.3,17.0,405.0,55.7,10.0,5.7,2.3,20.7,6.7,2.0,2.7,35.7,67.3,16.3,2.3,0.0,36129.7,30533.0,116.7,325.3,68.7,79.3,5.0,3.0,-1.0,0,21,10.439523904514928,6.6493782831305275,2.6597513132522113,29.45674579426824,37.5975
Itália,2.0,33.3,11.0,526.7,55.0,5.3,5.0,1.7,12.0,3.0,7.0,4.0,37.7,76.7,13.7,1.0,0.3,42240.7,36114.7,164.7,391.3,63.7,84.7,3.0,3.0,-1.0,0,22,6.936026936026936,3.569023569023569,1.3468013468013469,22.424242424242422,74.25
Espanha,4.0,43.7,9.7,567.7,56.0,7.7,4.0,1.7,15.0,5.7,4.0,2.3,48.0,84.3,9.3,1.0,0.0,46420.0,34881.3,229.3,383.0,78.0,82.0,7.0,3.0,-3.0,0,23,7.738095238095239,5.092592592592593,2.6455026455026456,28.902116402116405,37.8
Rússia,2.0,44.7,10.7,392.3,49.3,7.7,5.3,1.7,24.7,5.3,1.0,3.3,43.7,81.7,12.7,1.3,0.0,42485.7,42448.0,131.0,327.7,74.7,73.3,3.0,2.0,-1.0,0,24,9.766358650739988,5.78468935466907,1.5025167154984598,33.581248591390576,66.555
Gana,4.0,46.3,9.3,348.0,48.3,8.0,11.7,3.0,20.0,4.3,4.7,4.0,46.7,78.0,14.3,2.0,0.0,38332.7,40774.7,117.7,283.7,87.0,72.3,6.0,1.0,-2.0,0,25,15.106203512000613,6.134498888122077,3.0672494440610385,35.50341231500652,32.6025
Inglaterra,2.0,46.0,13.0,428.7,54.3,6.3,6.7,1.7,23.3,7.3,0.7,2.0,37.3,70.7,12.3,1.3,0.0,40781.0,36022.0,141.3,321.0,85.7,78.3,4.0,1.0,-2.0,0,26,8.867062274060432,4.297114794352363,1.3641634267785279,31.375758815906142,73.305
Coreia do Sul,3.0,42.7,12.7,383.3,51.7,8.0,4.3,2.7,17.3,5.7,0.7,4.0,44.0,81.0,12.0,2.0,0.0,39639.3,38224.0,124.0,299.7,90.3,74.3,6.0,1.0,-3.0,0,27,8.811519449817322,5.7310695608567945,2.149151085321298,30.58958378107314,46.53
Irã,1.0,24.7,22.3,201.3,35.0,4.0,3.3,1.3,20.0,4.3,3.3,4.0,40.3,72.7,16.3,1.3,0.0,26008.0,48552.3,80.3,172.3,64.0,62.3,4.0,1.0,-3.0,0,28,7.724867724867725,4.232804232804233,1.0582010582010581,26.137566137566136,94.5
Japão,2.0,47.0,7.3,424.3,55.0,9.3,6.0,2.7,19.3,6.3,0.7,2.7,35.3,72.7,15.3,1.3,0.0,39754.3,35494.7,142.0,332.3,70.0,77.0,6.0,1.0,-4.0,0,29,10.303030303030303,6.262626262626263,1.3468013468013469,31.64983164983165,74.25
Austrália,3.0,30.0,10.7,367.7,43.7,4.7,4.3,1.0,15.7,2.0,1.0,3.7,41.3,81.0,16.7,2.0,0.0,37317.0,52002.7,102.3,309.7,74.3,75.7,9.0,0.0,-6.0,0,30,7.627765064836003,3.983388422747691,2.5425883549453343,25.425883549453346,39.33
Honduras,1.0,29.0,11.7,344.7,48.7,5.7,5.3,1.7,14.7,4.0,1.0,3.7,40.3,74.7,15.3,2.3,0.0,31653.0,37386.3,110.7,268.7,76.3,74.7,8.0,0.0,-7.0,0,31,8.365655182903643,4.33493041295916,0.7605141075366948,22.054909118564147,131.49
Camarões,1.0,33.3,13.7,292.7,45.7,5.7,7.7,1.7,16.3,5.0,1.3,5.0,36.0,72.7,12.3,1.3,0.3,28350.7,36785.7,109.3,232.7,60.7,72.7,9.0,0.0,-8.0,0,32,10.859875192479132,4.619499149039631,0.8104384471999352,26.987600291757836,123.39
