codigo,altura,ano_nascimento,nome,peso,posicao,time,assistencias,bloqueios,carrinhos,chutes_certos,chutes_total,cruzamentos,faltas_cometidas,faltas_sofridas,gols,impedimentos,passes,roubadas,titular,banco,saiu,entrou,amarelo,vermelho
345366,1.88,"6 August, 1980",Roman Weidenfeller,85,Goalkeeper,Alemanha,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,0.0,0.0,0.0,0.0
345428,1.82,"9 June, 1978",Miroslav Klose,84,Forward,Alemanha,0,0,0,1,3,1,2,1,1,1,6,3,0.0,3.0,0.0,2.0,0.0,0.0
345448,1.84,"3 November, 1981",Jermaine Jones,78,Midfielder,Estados Unidos,1,5,7,4,4,0,7,8,1,0,83,12,3.0,0.0,0.0,0.0,1.0,0.0
345514,1.96,"7 February, 1978",Daniel Van Buyten,95,Defender,Bélgica,0,5,2,2,3,0,1,2,0,0,158,50,3.0,0.0,0.0,0.0,0.0,0.0
345535,1.83,"1 August, 1984",Bastian Schweinsteiger,79,Midfielder,Alemanha,0,1,1,1,3,3,2,8,0,0,102,5,1.0,2.0,1.0,1.0,0.0,0.0
345537,1.74,"30 November, 1984",Nigel De Jong,72,Midfielder,Holanda,0,0,12,2,2,0,8,4,0,0,84,34,3.0,0.0,0.0,0.0,0.0,0.0
345565,1.84,"20 December, 1980",Martín Demichelis,81,Defender,Argentina,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,0.0,0.0,0.0,0.0
345568,1.80,"5 June, 1982",Zvjezdan Misimovic,80,Midfielder,Bósnia,0,0,2,1,3,7,0,3,0,0,67,5,2.0,1.0,1.0,0.0,0.0,0.0
345573,1.70,"11 November, 1983",Philipp Lahm,66,Midfielder,Alemanha,0,2,3,1,1,3,1,6,0,0,244,24,3.0,0.0,0.0,0.0,0.0,0.0
345605,1.98,"29 September, 1984",Per Mertesacker,90,Defender,Alemanha,0,5,1,0,0,0,2,0,0,0,203,25,3.0,0.0,0.0,0.0,0.0,0.0
345608,1.80,"4 June, 1985",Lukas Podolski,83,Forward,Alemanha,0,0,1,0,2,2,0,1,0,1,23,2,1.0,2.0,1.0,1.0,0.0,0.0
345642,1.78,"22 May, 1985",Tranquillo Barnetta,68,Midfielder,Suíça,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,0.0,0.0,0.0,0.0
345644,1.66,"2 April, 1983",Arthur Boka,67,Defender,C. Marfim,0,2,6,3,4,9,3,2,0,0,98,19,3.0,0.0,1.0,0.0,0.0,0.0
345645,1.89,"6 August, 1984",Vedad Ibisevic,82,Forward,Bósnia,0,0,1,3,5,0,0,1,1,0,29,2,1.0,0.0,0.0,2.0,0.0,0.0
345653,1.82,"5 July, 1986",Ashkan Dejagah,79,Forward,Irã,0,1,4,1,1,10,3,6,0,5,38,12,3.0,0.0,3.0,0.0,0.0,0.0
345666,1.93,"27 March, 1986",Manuel Neuer,92,Goalkeeper,Alemanha,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0.0,0.0
345691,1.82,"6 March, 1987",Kevin-Prince Boateng,86,Forward,Gana,0,1,0,0,3,1,2,0,0,2,27,0,1.0,1.0,0.0,1.0,0.0,0.0
345762,1.80,"15 October, 1988",Mesut Özil,76,Midfielder,Alemanha,0,2,1,2,3,10,1,3,0,1,119,8,3.0,0.0,2.0,0.0,0.0,0.0
345763,1.93,"23 May, 1984",Hugo Almeida,86,Forward,Portugal,0,0,0,1,1,0,0,0,0,1,4,0,1.0,0.0,1.0,0.0,0.0,0.0
345773,1.90,"10 April, 1986",Vincent Kompany,85,Defender,Bélgica,0,2,1,0,0,0,1,0,0,0,108,20,2.0,0.0,0.0,0.0,0.0,0.0
345802,1.89,"4 April, 1987",Sami Khedira,85,Midfielder,Alemanha,0,0,1,1,2,1,3,4,0,0,89,7,2.0,1.0,1.0,0.0,0.0,0.0
345815,1.93,"3 April, 1983",Ben Foster,90,Goalkeeper,Inglaterra,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,0.0,0.0,0.0,0.0
345844,1.85,"30 May, 1980",Steven Gerrard,83,Midfielder,Inglaterra,0,1,4,0,2,6,2,0,0,0,113,19,2.0,0.0,0.0,1.0,1.0,0.0
345938,1.80,"4 August, 1985",Antonio Valencia,78,Midfielder,Equador,0,1,2,2,2,4,11,2,0,0,67,6,3.0,0.0,0.0,0.0,1.0,1.0
345955,1.88,"12 October, 1981",Shola Ameobi,95,Forward,Nigéria,0,0,1,2,2,0,2,1,0,0,14,3,0.0,3.0,0.0,2.0,0.0,0.0
346029,1.83,"19 March, 1981",Kolo Touré,74,Defender,C. Marfim,0,0,1,0,1,0,2,1,0,0,36,6,1.0,2.0,0.0,0.0,0.0,0.0
346040,1.85,"6 September, 1980",Joseph Yobo,85,Defender,Nigéria,0,3,2,0,0,0,1,0,0,0,42,14,2.0,0.0,0.0,0.0,0.0,0.0
346065,1.76,"24 October, 1985",Wayne Rooney,78,Forward,Inglaterra,1,0,1,4,9,4,3,6,1,0,56,4,2.0,1.0,0.0,1.0,0.0,0.0
346078,1.75,"4 January, 1986",James Milner,70,Midfielder,Inglaterra,0,0,1,0,0,2,1,0,0,0,21,6,1.0,2.0,1.0,0.0,0.0,0.0
346081,1.83,"25 November, 1981",Xabi Alonso,77,Midfielder,Espanha,0,0,4,2,3,4,5,2,1,1,146,16,3.0,0.0,2.0,0.0,1.0,0.0
346084,1.87,"31 August, 1982",Pepe Reina,92,Goalkeeper,Espanha,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,0.0,0.0,0.0,0.0
346086,1.84,"6 August, 1983",Robin Van Persie,71,Forward,Holanda,0,0,1,7,8,2,6,3,3,5,25,4,2.0,0.0,2.0,0.0,2.0,0.0
346090,1.84,"22 July, 1980",Dirk Kuyt,84,Forward,Holanda,0,2,4,0,1,1,2,0,0,0,22,6,1.0,2.0,1.0,0.0,0.0,0.0
346097,1.71,"15 May, 1981",Patrice Evra,76,Defender,França,0,0,0,0,1,4,1,2,0,0,91,5,2.0,1.0,0.0,0.0,1.0,0.0
346104,1.80,"3 December, 1982",Michael Essien,85,Midfielder,Gana,0,0,1,1,1,0,1,0,0,0,11,1,0.0,3.0,0.0,1.0,0.0,0.0
346107,1.80,"23 August, 1984",Glen Johnson,70,Defender,Inglaterra,1,1,1,0,2,7,1,3,0,0,121,10,2.0,1.0,0.0,0.0,0.0,0.0
346109,1.92,"21 February, 1985",Georgios Samaras,86,Forward,Grécia,1,0,10,2,5,4,6,17,1,0,54,9,3.0,0.0,0.0,0.0,1.0,0.0
346122,1.90,"14 February, 1985",Philippe Senderos,84,Defender,Suíça,0,1,0,0,0,0,0,0,0,0,57,3,0.0,3.0,0.0,1.0,0.0,0.0
346135,1.85,"5 February, 1985",Cristiano Ronaldo,80,Forward,Portugal,1,0,2,14,23,4,2,10,1,4,78,9,3.0,0.0,0.0,0.0,0.0,0.0
346143,1.71,"8 June, 1984",Javier Mascherano,74,Midfielder,Argentina,0,3,4,2,2,0,3,5,0,0,278,17,3.0,0.0,0.0,0.0,0.0,0.0
346150,1.78,"24 March, 1984",Benoit Assou-Ekotto,70,Defender,Camarões,0,3,0,1,2,8,3,1,0,0,64,6,2.0,0.0,0.0,0.0,0.0,0.0
346161,1.83,"14 December, 1980",Didier Zokora,70,Defender,C. Marfim,0,0,3,0,0,0,1,0,0,0,110,13,2.0,0.0,0.0,0.0,1.0,0.0
346168,1.80,"6 December, 1979",Tim Cahill,75,Forward,Austrália,0,0,2,3,7,1,7,1,2,2,37,4,2.0,0.0,1.0,0.0,2.0,0.0
346175,1.83,"9 September, 1987",Alex Song,74,Midfielder,Camarões,0,1,1,1,1,2,3,3,0,0,51,2,2.0,0.0,1.0,0.0,0.0,1.0
346178,1.75,"4 May, 1987",Cesc Fabregas,75,Midfielder,Espanha,1,0,0,0,0,1,1,0,0,1,38,5,0.0,2.0,0.0,2.0,0.0,0.0
346182,1.83,"16 January, 1986",Reto Ziegler,80,Defender,Suíça,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,0.0,0.0,0.0,0.0
346183,1.78,"6 March, 1983",Andranik Timotian,73,Midfielder,Irã,0,0,11,1,2,2,12,3,0,0,70,28,3.0,0.0,0.0,0.0,1.0,0.0
346195,1.87,"15 February, 1986",Gabriel Paletta,88,Defender,Itália,0,3,1,0,0,0,0,0,0,0,36,2,1.0,2.0,0.0,0.0,0.0,0.0
346217,1.72,"11 December, 1984",Leighton Baines,75,Defender,Inglaterra,0,1,3,1,1,5,2,1,0,0,103,15,2.0,0.0,0.0,0.0,0.0,0.0
346236,1.92,"18 January, 1987",Johan Djourou,87,Defender,Suíça,0,5,7,0,0,0,4,3,0,0,127,21,3.0,0.0,0.0,0.0,1.0,0.0
346244,1.91,"19 December, 1985",Gary Cahill,71,Defender,Inglaterra,0,2,4,0,0,0,3,4,0,0,139,45,3.0,0.0,0.0,0.0,0.0,0.0
346291,1.83,"17 August, 1982",Phil Jagielka,83,Defender,Inglaterra,0,2,1,0,1,1,1,1,0,0,92,13,2.0,1.0,0.0,0.0,0.0,0.0
346315,1.91,"19 April, 1987",Joe Hart,80,Goalkeeper,Inglaterra,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0
346316,1.93,"3 April, 1988",Tim Krul,84,Goalkeeper,Holanda,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,0.0,0.0,0.0,0.0
346357,1.87,"30 September, 1986",Cristian Zapata,82,Defender,Colômbia,0,4,3,0,0,0,1,1,0,0,75,10,2.0,1.0,0.0,0.0,0.0,0.0
346358,1.84,"19 April, 1985",Valon Behrami,78,Midfielder,Suíça,0,1,4,1,1,0,6,2,0,0,116,19,3.0,0.0,1.0,0.0,0.0,0.0
346422,1.77,"19 May, 1979",Andrea Pirlo,68,Midfielder,Itália,0,1,2,2,5,3,2,10,0,0,249,8,3.0,0.0,0.0,0.0,0.0,0.0
346537,1.82,"11 February, 1980",Mark Bresciano,75,Midfielder,Austrália,0,0,2,3,5,3,4,2,0,0,71,4,2.0,1.0,2.0,1.0,0.0,0.0
346563,1.79,"27 August, 1984",Sulley Muntari,76,Midfielder,Gana,1,0,6,1,5,7,5,6,0,0,88,14,2.0,0.0,0.0,0.0,2.0,0.0
346567,1.77,"27 August, 1981",Maxwell,73,Defender,Brasil,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,0.0,0.0,0.0,0.0
346573,1.82,"24 July, 1983",Daniele De Rossi,83,Midfielder,Itália,0,0,6,0,0,0,3,2,0,0,202,9,2.0,0.0,0.0,0.0,0.0,0.0
346587,1.86,"26 July, 1981",Maicon,77,Defender,Brasil,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,0.0,0.0,0.0,0.0
346589,1.78,"3 September, 1979",Júlio César,79,Goalkeeper,Brasil,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0.0,0.0
346590,1.86,"8 May, 1981",Andrea Barzagli,79,Defender,Itália,0,2,3,1,1,0,3,1,0,0,189,18,3.0,0.0,0.0,0.0,0.0,0.0
346703,1.84,"7 July, 1984",Alberto Aquilani,77,Midfielder,Itália,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,0.0,0.0,0.0,0.0
346769,1.90,"12 January, 1987",Salvatore Sirigu,80,Goalkeeper,Itália,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,0.0,0.0,0.0,0.0
346879,1.86,"22 November, 1985",Asamoah Gyan,77,Forward,Gana,1,1,1,7,18,9,3,8,2,5,36,2,3.0,0.0,0.0,0.0,0.0,0.0
346902,1.87,"18 August, 1985",Bryan Ruiz,79,Forward,Costa Rica,0,2,2,2,4,2,10,4,1,0,90,16,3.0,0.0,2.0,0.0,0.0,0.0
346988,1.87,"11 August, 1985",Sammy Bossut,74,Goalkeeper,Bélgica,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,0.0,0.0,0.0,0.0
347065,1.80,"30 December, 1979",Boubacar Barry,69,Goalkeeper,C. Marfim,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0
347082,1.88,"20 March, 1985",Nicolas Lombaerts,83,Defender,Bélgica,0,1,1,0,0,0,2,0,0,0,30,5,1.0,2.0,0.0,0.0,0.0,0.0
347118,1.75,"30 January, 1986",Lucas Biglia,74,Midfielder,Argentina,0,0,0,0,0,0,0,0,0,0,6,2,0.0,3.0,0.0,2.0,0.0,0.0
347131,1.85,"24 October, 1987",Anthony Vanden Borre,89,Defender,Bélgica,0,0,1,0,0,1,1,1,0,0,40,3,1.0,2.0,0.0,0.0,0.0,0.0
347134,1.75,"21 June, 1986",Cheick Tioté,86,Midfielder,C. Marfim,0,3,7,2,3,1,5,3,0,0,148,22,3.0,0.0,1.0,0.0,1.0,0.0
347213,1.94,"22 November, 1987",Marouane Fellaini,85,Midfielder,Bélgica,0,0,1,2,3,1,6,3,1,4,69,16,2.0,1.0,0.0,1.0,0.0,0.0
347218,1.73,"15 April, 1988",Steven Defour,70,Midfielder,Bélgica,0,0,1,0,0,0,2,1,0,0,23,8,1.0,2.0,0.0,0.0,0.0,0.0
347225,1.83,"12 January, 1989",Axel Witsel,76,Midfielder,Bélgica,0,0,5,2,4,0,3,6,0,0,107,19,2.0,1.0,0.0,0.0,1.0,0.0
347254,1.80,"5 August, 1985",Laurent Ciman,70,Defender,Bélgica,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,0.0,0.0,0.0,0.0
347258,1.89,"18 October, 1983",Dante,87,Defender,Brasil,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,0.0,0.0,0.0,0.0
347350,1.93,"6 March, 1988",Simon Mignolet,87,Goalkeeper,Bélgica,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,0.0,0.0,0.0,0.0
347380,1.87,"30 June, 1986",Fredy Guarín,77,Midfielder,Colômbia,0,0,2,0,0,1,3,1,0,0,23,3,1.0,1.0,0.0,0.0,1.0,0.0
347384,1.89,"13 May, 1983",Yaya Touré,90,Midfielder,C. Marfim,0,0,2,6,9,7,1,4,0,0,137,11,3.0,0.0,0.0,0.0,0.0,0.0
347398,1.86,"13 January, 1976",Mario Yepes,83,Defender,Colômbia,0,5,4,0,1,0,1,2,0,1,48,11,2.0,1.0,0.0,0.0,0.0,0.0
347401,1.76,"18 May, 1980",Diego Pérez,81,Midfielder,Uruguai,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,0.0,0.0,0.0,0.0
347466,1.85,"2 November, 1982",Charles Itandje,83,Goalkeeper,Camarões,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0.0,0.0
347486,1.84,"14 May, 1979",Mickael Landreau,85,Goalkeeper,França,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,0.0,0.0,0.0,0.0
347594,1.70,"29 May, 1983",Jean Makoun,65,Midfielder,Camarões,0,0,0,0,0,0,0,2,0,0,6,0,0.0,3.0,0.0,1.0,0.0,0.0
347602,1.78,"30 September, 1985",Cristian Rodríguez,81,Midfielder,Uruguai,0,1,6,0,2,3,4,8,0,0,74,13,3.0,0.0,2.0,0.0,0.0,0.0
347649,1.72,"8 March, 1984",Rio Mavuba,74,Midfielder,França,0,0,0,0,0,0,1,0,0,0,26,0,0.0,3.0,0.0,1.0,0.0,0.0
347680,1.75,"14 February, 1983",Bacary Sagna,72,Defender,França,0,1,0,0,0,6,0,1,0,0,40,1,1.0,2.0,0.0,0.0,0.0,0.0
347681,1.88,"14 May, 1984",Hassan Yebda,80,Midfielder,Argélia,0,1,1,0,0,0,1,0,0,0,5,2,0.0,3.0,0.0,1.0,0.0,0.0
347705,1.78,"28 July, 1985",Mathieu Debuchy,78,Defender,França,0,1,3,2,2,7,6,1,0,1,79,12,2.0,1.0,0.0,0.0,0.0,0.0
347710,1.81,"15 July, 1981",Peter Odemwingie,79,Forward,Nigéria,0,1,6,3,5,3,5,1,1,0,68,17,2.0,1.0,1.0,1.0,0.0,0.0
347711,1.86,"3 October, 1983",Fred,90,Forward,Brasil,0,1,1,7,7,1,1,3,1,4,32,5,3.0,0.0,1.0,0.0,0.0,0.0
347716,1.75,"14 January, 1986",Yohan Cabaye,72,Midfielder,França,0,2,0,0,4,1,4,3,0,0,109,17,2.0,0.0,1.0,0.0,1.0,0.0
347725,1.85,"19 December, 1987",Karim Benzema,79,Forward,França,2,0,0,15,20,5,1,4,3,1,82,4,3.0,0.0,0.0,0.0,0.0,0.0
347734,1.79,"5 October, 1987",Kevin Mirallas,72,Forward,Bélgica,0,0,0,2,3,3,1,1,0,3,22,4,1.0,2.0,1.0,1.0,0.0,0.0
347756,1.72,"28 November, 1985",Landry N'Guemo,70,Midfielder,Camarões,0,0,0,0,2,0,2,6,0,0,44,5,1.0,1.0,0.0,0.0,0.0,0.0
347763,1.75,"9 April, 1987",Blaise Matuidi,70,Midfielder,França,0,2,3,4,7,6,3,5,1,0,164,17,3.0,0.0,1.0,0.0,0.0,0.0
347765,1.88,"26 December, 1986",Hugo Lloris,73,Goalkeeper,França,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0
347769,1.90,"20 May, 1986",Stephane Mbia,85,Midfielder,Camarões,0,2,4,0,4,3,5,7,0,0,118,17,3.0,0.0,0.0,0.0,1.0,0.0
347791,1.80,"16 January, 1984",Stephan Lichtsteiner,77,Defender,Suíça,1,6,3,0,1,7,5,6,0,0,130,19,3.0,0.0,0.0,0.0,0.0,0.0
347810,1.80,"15 May, 1985",Carl Medjani,77,Defender,Argélia,1,1,6,0,2,1,8,3,0,0,62,16,3.0,0.0,1.0,0.0,0.0,0.0
347887,1.67,"28 September, 1984",Mathieu Valbuena,58,Midfielder,França,1,0,0,5,6,9,5,3,1,1,84,4,2.0,1.0,2.0,0.0,0.0,0.0
347919,1.85,"2 January, 1987",Loic Remy,82,Forward,França,0,0,0,1,1,2,0,0,0,0,5,0,0.0,3.0,0.0,1.0,0.0,0.0
347949,1.75,"16 March, 1979",Edison Méndez,68,Midfielder,Equador,0,0,0,0,0,0,0,0,0,0,4,0,0.0,3.0,0.0,1.0,0.0,0.0
347953,1.76,"2 April, 1980",Carlos Salcido,70,Defender,México,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,0.0,1.0,0.0,0.0
348048,1.87,"12 August, 1983",Klaas-Jan Huntelaar,78,Forward,Holanda,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,0.0,0.0,0.0,0.0
348116,1.71,"9 June, 1984",Wesley Sneijder,67,Midfielder,Holanda,2,1,4,6,6,9,5,2,0,0,75,12,3.0,0.0,1.0,0.0,0.0,0.0
348168,1.78,"14 November, 1985",Thomas Vermaelen,75,Defender,Bélgica,0,0,1,0,0,1,1,0,0,0,19,3,1.0,1.0,1.0,0.0,0.0,0.0
348199,1.78,"1 September, 1983",Paul Verhaegh,72,Defender,Holanda,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,0.0,0.0,0.0,0.0
348217,1.81,"24 January, 1987",Luis Suárez,81,Forward,Uruguai,0,0,5,9,12,11,7,2,2,3,33,3,2.0,1.0,1.0,0.0,0.0,0.0
348218,1.88,"8 March, 1985",Haris Medunjanin,83,Midfielder,Bósnia,0,1,1,0,2,0,1,0,0,0,86,3,1.0,2.0,1.0,1.0,0.0,0.0
348219,1.90,"16 February, 1985",Ron Vlaar,79,Defender,Holanda,0,5,6,0,1,0,1,1,0,0,79,18,3.0,0.0,0.0,0.0,0.0,0.0
348248,1.85,"16 July, 1987",Moussa Dembele,82,Midfielder,Bélgica,0,3,7,0,1,0,5,5,0,0,81,10,2.0,1.0,1.0,0.0,1.0,0.0
348254,1.72,"2 December, 1981",Danijel Pranjic,70,Defender,Croácia,1,1,7,1,2,3,1,1,0,1,72,6,2.0,1.0,1.0,0.0,0.0,0.0
348270,1.74,"13 September, 1987",Jonathan De Guzmán,65,Midfielder,Holanda,1,0,0,0,0,2,3,0,0,0,45,8,2.0,1.0,2.0,0.0,0.0,0.0
348308,1.78,"24 November, 1987",Jeremain Lens,73,Forward,Holanda,0,0,6,2,3,0,10,5,0,0,12,2,1.0,1.0,1.0,2.0,0.0,0.0
348329,1.89,"24 April, 1987",Jan Vertonghen,86,Defender,Bélgica,0,5,4,2,6,7,3,1,1,0,104,22,2.0,1.0,0.0,1.0,1.0,0.0
348335,1.83,"20 October, 1983",Michel Vorm,84,Goalkeeper,Holanda,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,0.0,0.0,0.0,0.0
348402,1.75,"12 July, 1982",Antonio Cassano,78,Forward,Itália,0,0,0,1,2,3,0,3,0,1,23,0,0.0,3.0,0.0,2.0,0.0,0.0
348438,1.85,"20 May, 1981",Iker Casillas,84,Goalkeeper,Espanha,0,0,0,0,0,0,0,0,0,0,0,0,2.0,1.0,0.0,0.0,1.0,0.0
348442,1.70,"25 January, 1980",Xavi,68,Midfielder,Espanha,0,0,0,0,0,0,0,0,0,0,67,1,1.0,2.0,0.0,0.0,0.0,0.0
348449,1.81,"10 March, 1981",Samuel Eto'o,75,Forward,Camarões,0,0,1,0,2,0,0,1,0,2,15,0,1.0,2.0,0.0,0.0,0.0,0.0
348451,1.81,"19 May, 1979",Diego Forlán,75,Forward,Uruguai,0,0,0,1,3,3,0,0,0,0,18,0,1.0,2.0,1.0,0.0,0.0,0.0
348468,1.84,"13 February, 1979",Rafael Márquez,74,Defender,México,1,2,3,1,2,2,2,4,1,0,121,27,3.0,0.0,0.0,0.0,0.0,0.0
348501,1.70,"11 May, 1984",Andrés Iniesta,65,Midfielder,Espanha,1,0,0,3,4,6,3,8,0,1,188,10,3.0,0.0,0.0,0.0,0.0,0.0
348502,1.87,"28 August, 1982",Thiago Motta,83,Midfielder,Itália,0,1,0,0,1,0,0,3,0,0,78,4,1.0,1.0,1.0,2.0,0.0,0.0
348509,1.86,"20 March, 1984",Fernando Torres,70,Forward,Espanha,0,0,0,2,2,3,2,3,1,3,24,6,1.0,2.0,0.0,2.0,0.0,0.0
348535,1.80,"2 January, 1981",Maxi Rodríguez,74,Midfielder,Argentina,0,0,1,0,1,0,0,0,0,0,27,1,1.0,2.0,1.0,0.0,0.0,0.0
348611,1.85,"13 April, 1983",Claudio Bravo,84,Goalkeeper,Chile,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0
348634,1.75,"6 May, 1983",Dani Alves,64,Defender,Brasil,0,3,9,1,3,10,3,5,0,0,174,31,3.0,0.0,0.0,0.0,0.0,0.0
348651,1.75,"3 December, 1981",David Villa,69,Forward,Espanha,0,2,0,1,1,2,2,2,1,3,15,1,1.0,2.0,1.0,0.0,0.0,0.0
348656,1.72,"2 June, 1988",Sergio Agüero,69,Forward,Argentina,0,2,0,3,5,6,1,5,0,0,26,1,3.0,0.0,3.0,0.0,0.0,0.0
348661,1.74,"16 January, 1985",Pablo Zabaleta,74,Defender,Argentina,0,3,1,0,1,6,5,3,0,0,120,17,3.0,0.0,0.0,0.0,0.0,0.0
348691,1.80,"20 January, 1982",Pierre Webó,78,Forward,Camarões,0,2,0,1,2,0,1,0,0,0,8,0,0.0,3.0,0.0,3.0,0.0,0.0
348696,1.69,"13 December, 1984",Santi Cazorla,66,Midfielder,Espanha,0,0,0,3,3,4,0,2,0,0,48,4,1.0,2.0,1.0,1.0,0.0,0.0
348703,1.80,"9 January, 1985",Juanfran,72,Defender,Espanha,0,1,0,0,0,6,1,2,0,0,53,11,1.0,2.0,0.0,0.0,0.0,0.0
348704,1.83,"30 March, 1986",Sergio Ramos,75,Defender,Espanha,0,1,2,3,6,0,4,3,0,0,162,36,3.0,0.0,0.0,0.0,1.0,0.0
348737,1.87,"4 September, 1985",Raúl Albiol,82,Defender,Espanha,0,0,0,0,0,0,0,0,0,0,34,4,1.0,2.0,0.0,0.0,0.0,0.0
348756,1.88,"7 September, 1980",Javad Nekounam,78,Midfielder,Irã,1,2,1,0,0,1,2,2,0,0,70,23,3.0,0.0,0.0,0.0,0.0,0.0
